OPENET_ID,CROP_2023,.geo
CA_253578,47,"{""type"":""Point"",""coordinates"":[-121.64489395805282,36.633390650961346]}"
CA_257473,47,"{""type"":""Point"",""coordinates"":[-121.78292937034327,36.700315934463916]}"
CA_257484,47,"{""type"":""Point"",""coordinates"":[-121.78148327558294,36.704819103687306]}"
CA_257489,47,"{""type"":""Point"",""coordinates"":[-121.77796219587094,36.706911484306694]}"
CA_257789,47,"{""type"":""Point"",""coordinates"":[-121.69753911033285,36.7687671281068]}"
CA_256383,47,"{""type"":""Point"",""coordinates"":[-121.76413537450182,36.83193484746321]}"
CA_257552,47,"{""type"":""Point"",""coordinates"":[-121.63223405554744,36.751289622320435]}"
CA_255250,47,"{""type"":""Point"",""coordinates"":[-121.6343701053222,36.75319004969226]}"
CA_257602,47,"{""type"":""Point"",""coordinates"":[-121.63833919235627,36.762431782584606]}"
CA_256050,47,"{""type"":""Point"",""coordinates"":[-121.6821284061702,36.88831942691306]}"
CA_254743,47,"{""type"":""Point"",""coordinates"":[-121.6528020402219,36.889490275201595]}"
CA_256027,37,"{""type"":""Point"",""coordinates"":[-121.71779447798384,36.90932228968269]}"
CA_255483,47,"{""type"":""Point"",""coordinates"":[-121.66300195469793,36.630008253965315]}"
CA_257772,47,"{""type"":""Point"",""coordinates"":[-121.78279838733403,36.853824810761225]}"
CA_257925,47,"{""type"":""Point"",""coordinates"":[-121.79578200857365,36.72287873809257]}"
CA_254714,47,"{""type"":""Point"",""coordinates"":[-121.7080463806137,36.710678276550034]}"
CA_255679,47,"{""type"":""Point"",""coordinates"":[-121.72076053934029,36.88399243044783]}"
CA_254152,47,"{""type"":""Point"",""coordinates"":[-121.67934862495221,36.70653548502736]}"
CA_255008,47,"{""type"":""Point"",""coordinates"":[-121.67061951133859,36.865921934015056]}"
CA_256444,47,"{""type"":""Point"",""coordinates"":[-121.7131850515797,36.85948417054287]}"
CA_256692,47,"{""type"":""Point"",""coordinates"":[-121.68702937127607,36.69122135811615]}"
CA_257373,47,"{""type"":""Point"",""coordinates"":[-121.70466293905717,36.716405985303545]}"
CA_253113,47,"{""type"":""Point"",""coordinates"":[-121.75761994305867,36.7352033861779]}"
