field,crop,time,et_console,et_api
CA_174849,176,2022-01-01,0.699,
CA_174849,176,2022-01-02,0.979,
CA_174849,176,2022-01-03,1.048,
CA_174849,176,2022-01-04,0.699,
CA_174849,176,2022-01-05,0.629,
CA_174849,176,2022-01-06,0.419,
CA_174849,176,2022-01-07,0.21,
CA_174849,176,2022-01-08,0.629,
CA_174849,176,2022-01-09,0.769,
CA_174849,176,2022-01-10,1.118,
CA_174849,176,2022-01-11,0.769,
CA_174849,176,2022-01-12,0.699,
CA_174849,176,2022-01-13,0.736,
CA_174849,176,2022-01-14,1.406,
CA_174849,176,2022-01-15,0.853,
CA_174849,176,2022-01-16,0.637,
CA_174849,176,2022-01-17,0.549,
CA_174849,176,2022-01-18,0.519,
CA_174849,176,2022-01-19,0.636,
CA_174849,176,2022-01-20,0.791,
CA_174849,176,2022-01-21,1.686,
CA_174849,176,2022-01-22,2.065,
CA_174849,176,2022-01-23,0.777,
CA_174849,176,2022-01-24,0.625,
CA_174849,176,2022-01-25,1.167,
CA_174849,176,2022-01-26,0.722,
CA_174849,176,2022-01-27,0.667,
CA_174849,176,2022-01-28,0.356,
CA_174849,176,2022-01-29,0.369,
CA_174849,176,2022-01-30,0.407,
CA_174849,176,2022-01-31,0.581,
CA_174849,176,2022-02-01,1.262,
CA_174849,176,2022-02-02,1.121,
CA_174849,176,2022-02-03,0.816,
CA_174849,176,2022-02-04,0.734,
CA_174849,176,2022-02-05,0.831,
CA_174849,176,2022-02-06,0.776,
CA_174849,176,2022-02-07,1.009,
CA_174849,176,2022-02-08,1.382,
CA_174849,176,2022-02-09,1.653,
CA_174849,176,2022-02-10,1.124,
CA_174849,176,2022-02-11,1.021,
CA_174849,176,2022-02-12,1.058,
CA_174849,176,2022-02-13,1.199,
CA_174849,176,2022-02-14,1.166,
CA_174849,176,2022-02-15,1.509,
CA_174849,176,2022-02-16,2.136,
CA_174849,176,2022-02-17,1.558,
CA_174849,176,2022-02-18,1.074,
CA_174849,176,2022-02-19,1.091,
CA_174849,176,2022-02-20,1.224,
CA_174849,176,2022-02-21,1.243,
CA_174849,176,2022-02-22,0.58,
CA_174849,176,2022-02-23,1.136,
CA_174849,176,2022-02-24,1.001,
CA_174849,176,2022-02-25,1.252,
CA_174849,176,2022-02-26,1.065,
CA_174849,176,2022-02-27,0.0,
CA_174849,176,2022-02-28,1.17,
CA_174849,176,2022-03-01,1.566,
CA_174849,176,2022-03-02,1.663,
CA_174849,176,2022-03-03,1.101,
CA_174849,176,2022-03-04,1.085,
CA_174849,176,2022-03-05,0.759,
CA_174849,176,2022-03-06,1.22,
CA_174849,176,2022-03-07,1.99,
CA_174849,176,2022-03-08,1.584,
CA_174849,176,2022-03-09,2.393,
CA_174849,176,2022-03-10,3.266,
CA_174849,176,2022-03-11,2.707,
CA_174849,176,2022-03-12,3.052,
CA_174849,176,2022-03-13,2.044,
CA_174849,176,2022-03-14,2.076,
CA_174849,176,2022-03-15,1.578,
