Codes,Class_Names,ESRI_Red,ESRI_Green,ESRI_Blue,Erdas_Red,Erdas_Green,Erdas_Blue
0,Background,0,0,0,0,0,0
1,Corn,255,212,0,1,0.8275,0
2,Cotton,255,38,38,1,0.149,0.149
3,Rice,0,169,230,0,0.6588,0.898
4,Sorghum,255,158,15,1,0.6196,0.0471
5,Soybeans,38,115,0,0.149,0.4431,0
6,Sunflower,255,255,0,1,1,0
7,,0,0,0,0,0,0
8,,0,0,0,0,0,0
9,,0,0,0,0,0,0
10,Peanuts,112,168,0,0.4392,0.6471,0
11,Tobacco,0,175,77,0,0.6863,0.298
12,Sweet Corn,224,166,15,0.8667,0.6471,0.0471
13,Pop or Orn Corn,224,166,15,0.8667,0.6471,0.0471
14,Mint,128,212,255,0.498,0.8275,1
15,,0,0,0,0,0,0
16,,0,0,0,0,0,0
17,,0,0,0,0,0,0
18,,0,0,0,0,0,0
19,,0,0,0,0,0,0
20,,0,0,0,0,0,0
21,Barley,226,0,127,0.8863,0,0.4863
22,Durum Wheat,138,100,83,0.5373,0.3882,0.3294
23,Spring Wheat,217,181,108,0.8471,0.7098,0.4196
24,Winter Wheat,168,112,0,0.6471,0.4392,0
25,Other Small Grains,214,157,188,0.8392,0.6196,0.7373
26,Dbl Crop WinWht/Soybeans,115,115,0,0.4431,0.4431,0
27,Rye,174,1,126,0.6784,0,0.4863
28,Oats,161,88,137,0.6275,0.349,0.5373
29,Millet,115,0,76,0.4431,0,0.2863
30,Speltz,214,157,188,0.8392,0.6196,0.7373
31,Canola,209,255,0,0.8196,1,0
32,Flaxseed,128,153,255,0.498,0.6,1
33,Safflower,214,214,0,0.8392,0.8392,0
34,Rape Seed,209,255,0,0.8196,1,0
35,Mustard,0,175,77,0,0.6863,0.298
36,Alfalfa,255,168,227,1,0.6471,0.8863
37,Other Hay/Non Alfalfa,165,245,141,0.6471,0.9529,0.549
38,Camelina,0,175,77,0,0.6863,0.298
39,Buckwheat,214,157,188,0.8392,0.6196,0.7373
40,,0,0,0,0,0,0
41,Sugarbeets,169,0,230,0.6588,0,0.898
42,Dry Beans,168,0,0,0.6471,0,0
43,Potatoes,115,38,0,0.4431,0.149,0
44,Other Crops,0,175,77,0,0.6863,0.298
45,Sugarcane,179,128,255,0.698,0.498,1
46,Sweet Potatoes,115,38,0,0.4431,0.149,0
47,Misc Vegs & Fruits,255,102,102,1,0.4,0.4
48,Watermelons,255,102,102,1,0.4,0.4
49,Onions,255,204,102,1,0.8,0.4
50,Cucumbers,255,102,102,1,0.4,0.4
51,Chick Peas,0,175,77,0,0.6863,0.298
52,Lentils,0,222,176,0,0.8667,0.6863
53,Peas,85,255,0,0.3294,1,0
54,Tomatoes,245,162,122,0.9529,0.6392,0.4667
55,Caneberries,255,102,102,1,0.4,0.4
56,Hops,0,175,77,0,0.6863,0.298
57,Herbs,128,212,255,0.498,0.8275,1
58,Clover/Wildflowers,232,190,255,0.9098,0.749,1
59,Sod/Grass Seed,178,255,222,0.6863,1,0.8667
60,Switchgrass,0,175,77,0,0.6863,0.298
61,Fallow/Idle Cropland,191,191,122,0.749,0.749,0.4667
62,,0,0,0,0,0,0
63,Forest,149,206,147,0.5765,0.8,0.5765
64,Shrubland,199,215,158,0.7765,0.8392,0.6196
65,Barren,204,191,163,0.8,0.749,0.6392
66,Cherries,255,0,255,1,0,1
67,Peaches,255,145,171,1,0.5569,0.6667
68,Apples,185,0,80,0.7294,0,0.3098
69,Grapes,112,68,137,0.4392,0.2667,0.5373
70,Christmas Trees,0,120,120,0,0.4667,0.4667
71,Other Tree Crops,179,156,112,0.698,0.6078,0.4392
72,Citrus,255,255,128,1,1,0.498
73,,0,0,0,0,0,0
