field_id,crop,time,expected_et,expected_eto,expected_etof
CA_298674,75,2024-01-01,0.506,0.745,0.68
CA_298674,75,2024-01-02,0.369,0.558,0.662
CA_298674,75,2024-01-03,0.779,1.21,0.644
CA_298674,75,2024-01-04,0.932,1.489,0.626
CA_298674,75,2024-01-05,0.566,0.931,0.608
CA_298674,75,2024-01-06,0.494,0.838,0.59
CA_298674,75,2024-01-07,0.532,0.931,0.572
CA_298674,75,2024-01-08,0.464,0.838,0.554
CA_298674,75,2024-01-09,0.499,0.931,0.536
CA_298674,75,2024-01-10,0.627,1.21,0.518
CA_298674,75,2024-01-11,0.559,1.117,0.501
CA_298674,75,2024-01-12,0.393,0.745,0.528
CA_298674,75,2024-01-13,0.466,0.838,0.556
CA_298674,75,2024-01-14,0.652,1.117,0.584
CA_298674,75,2024-01-15,0.455,0.745,0.612
CA_298674,75,2024-01-16,0.476,0.745,0.64
CA_298674,75,2024-01-17,0.621,0.931,0.667
CA_298674,75,2024-01-18,0.647,0.931,0.695
CA_298674,75,2024-01-19,0.74,1.024,0.723
CA_298674,75,2024-01-20,0.908,1.21,0.751
CA_298674,75,2024-01-21,0.869,1.117,0.779
CA_298674,75,2024-01-22,0.75,0.931,0.806
CA_298674,75,2024-01-23,0.932,1.117,0.834
CA_298674,75,2024-01-24,0.562,0.651,0.862
CA_298674,75,2024-01-25,0.994,1.117,0.89
CA_298674,75,2024-01-26,1.025,1.117,0.918
CA_298674,75,2024-01-27,0.968,1.024,0.945
CA_298674,75,2024-01-28,1.029,1.117,0.922
CA_298674,75,2024-01-29,1.17,1.303,0.898
CA_298674,75,2024-01-30,1.465,1.675,0.874
CA_298674,75,2024-01-31,2.058,2.42,0.851
CA_298674,75,2024-02-01,1.015,1.227,0.827
CA_298674,75,2024-02-02,1.062,1.322,0.803
CA_298674,75,2024-02-03,0.957,1.227,0.78
CA_298674,75,2024-02-04,1.285,1.699,0.756
CA_298674,75,2024-02-05,1.175,1.605,0.732
CA_298674,75,2024-02-06,0.87,1.227,0.709
CA_298674,75,2024-02-07,0.776,1.133,0.685
CA_298674,75,2024-02-08,0.624,0.944,0.661
CA_298674,75,2024-02-09,0.903,1.416,0.638
CA_298674,75,2024-02-10,0.753,1.227,0.614
CA_298674,75,2024-02-11,0.892,1.511,0.59
CA_298674,75,2024-02-12,0.856,1.511,0.567
CA_298674,75,2024-02-13,0.818,1.511,0.542
CA_298674,75,2024-02-14,0.83,1.605,0.517
CA_298674,75,2024-02-15,0.697,1.416,0.492
CA_298674,75,2024-02-16,0.706,1.511,0.468
CA_298674,75,2024-02-17,0.585,1.322,0.443
CA_298674,75,2024-02-18,0.868,2.077,0.418
CA_298674,75,2024-02-19,0.854,2.171,0.393
CA_298674,75,2024-02-20,0.731,1.983,0.369
CA_298674,75,2024-02-21,0.65,1.699,0.382
CA_298674,75,2024-02-22,0.823,2.077,0.396
CA_298674,75,2024-02-23,0.812,1.983,0.41
CA_298674,75,2024-02-24,0.68,1.605,0.423
CA_298674,75,2024-02-25,0.743,1.699,0.437
CA_298674,75,2024-02-26,0.809,1.794,0.451
CA_298674,75,2024-02-27,1.009,2.171,0.465
CA_298674,75,2024-02-28,1.174,2.455,0.478
CA_298674,75,2024-02-29,0.999,2.171,0.46
CA_298674,75,2024-03-01,0.754,1.706,0.442
CA_298674,75,2024-03-02,0.643,1.516,0.424
CA_298674,75,2024-03-03,0.654,1.611,0.406
CA_298674,75,2024-03-04,0.662,1.706,0.388
CA_298674,75,2024-03-05,0.772,2.085,0.37
CA_298674,75,2024-03-06,0.734,2.085,0.352
CA_298674,75,2024-03-07,0.791,2.369,0.334
CA_298674,75,2024-03-08,0.779,2.464,0.316
CA_298674,75,2024-03-09,0.734,2.464,0.298
CA_298674,75,2024-03-10,0.769,2.749,0.28
CA_298674,75,2024-03-11,0.67,2.559,0.262
CA_298674,75,2024-03-12,0.531,2.18,0.244
CA_298674,75,2024-03-13,0.599,2.654,0.226
CA_298674,75,2024-03-14,0.689,3.317,0.208
CA_298674,75,2024-03-15,0.575,3.033,0.19
CA_298674,75,2024-03-16,0.652,3.128,0.208
CA_298674,75,2024-03-17,0.796,3.507,0.227
CA_298674,75,2024-03-18,0.791,3.222,0.246
CA_298674,75,2024-03-19,0.952,3.602,0.264
CA_298674,75,2024-03-20,1.206,4.265,0.283
CA_298674,75,2024-03-21,1.171,3.886,0.301
CA_298674,75,2024-03-22,1.153,3.602,0.32
