field_id,crop,time,expected_et,expected_eto,expected_etof
CA_246436,47,2024-01-01,0.474,0.811,0.584
CA_246436,47,2024-01-02,0.486,0.811,0.599
CA_246436,47,2024-01-03,0.798,1.298,0.615
CA_246436,47,2024-01-04,1.072,1.703,0.629
CA_246436,47,2024-01-05,0.835,1.298,0.644
CA_246436,47,2024-01-06,0.854,1.298,0.658
CA_246436,47,2024-01-07,0.709,1.054,0.672
CA_246436,47,2024-01-08,0.78,1.136,0.687
CA_246436,47,2024-01-09,0.967,1.379,0.701
CA_246436,47,2024-01-10,1.103,1.541,0.715
CA_246436,47,2024-01-11,0.947,1.298,0.73
CA_246436,47,2024-01-12,0.821,1.136,0.723
CA_246436,47,2024-01-13,0.64,0.892,0.717
CA_246436,47,2024-01-14,0.98,1.379,0.71
CA_246436,47,2024-01-15,0.628,0.892,0.704
CA_246436,47,2024-01-16,0.871,1.105,0.825
CA_246436,47,2024-01-17,0.856,1.085,0.838
CA_246436,47,2024-01-18,0.857,1.085,0.851
CA_246436,47,2024-01-19,0.89,1.126,0.864
CA_246436,47,2024-01-20,0.948,1.197,0.877
CA_246436,47,2024-01-21,0.973,1.227,0.89
CA_246436,47,2024-01-22,1.014,1.278,0.9
CA_246436,47,2024-01-23,1.048,1.318,0.908
CA_246436,47,2024-01-24,1.074,1.349,0.913
CA_246436,47,2024-01-25,1.115,1.399,0.916
CA_246436,47,2024-01-26,1.149,1.44,0.916
CA_246436,47,2024-01-27,1.182,1.48,0.914
CA_246436,47,2024-01-28,1.184,1.48,0.908
CA_246436,47,2024-01-29,1.206,1.506,0.901
CA_246436,47,2024-01-30,1.256,1.566,0.893
CA_246436,47,2024-01-31,1.262,1.572,0.885
CA_246436,47,2024-02-01,1.286,1.6,0.877
CA_246436,47,2024-02-02,1.328,1.651,0.869
CA_246436,47,2024-02-03,1.361,1.689,0.86
CA_246436,47,2024-02-04,1.421,1.762,0.852
CA_246436,47,2024-02-05,1.478,1.833,0.843
CA_246436,47,2024-02-06,1.531,1.899,0.834
