field_id,crop,time,expected_et,expected_eto,expected_etof
CA_216236,36,2024-12-31,0.269,0.427,0.631
CA_216236,36,2024-12-30,0.28,0.441,0.634
CA_216236,36,2024-12-29,0.281,0.441,0.637
CA_216236,36,2024-12-28,0.295,0.46,0.64
CA_216236,36,2024-12-27,0.37,0.57,0.646
CA_216236,36,2024-12-26,0.366,0.561,0.649
CA_216236,36,2024-12-25,0.366,0.561,0.65
CA_216236,36,2024-12-24,0.36,0.552,0.648
CA_216236,36,2024-12-23,0.375,0.579,0.643
CA_216236,36,2024-12-22,0.36,0.561,0.635
CA_216236,36,2024-12-21,0.361,0.57,0.625
CA_216236,36,2024-12-20,0.394,0.644,0.612
CA_216236,36,2024-12-19,0.364,0.616,0.599
CA_216236,36,2024-12-18,0.391,0.671,0.59
CA_216236,36,2024-12-17,0.429,0.745,0.583
CA_216236,36,2024-12-16,0.487,0.846,0.579
CA_216236,36,2024-12-15,0.514,0.892,0.578
CA_216236,36,2024-12-14,0.515,0.892,0.579
CA_216236,36,2024-12-13,0.545,0.938,0.584
CA_216236,36,2024-12-12,0.503,0.855,0.592
CA_216236,36,2024-12-11,0.464,0.782,0.599
CA_216236,36,2024-12-10,0.477,0.791,0.607
CA_216236,36,2024-12-09,0.422,0.69,0.614
CA_216236,36,2024-12-08,0.382,0.616,0.622
CA_216236,36,2024-12-07,0.353,0.561,0.63
CA_216236,36,2024-12-06,0.386,0.607,0.637
CA_216236,36,2024-12-05,0.362,0.561,0.645
CA_216236,36,2024-12-04,0.39,0.597,0.653
CA_216236,36,2024-12-03,0.424,0.642,0.66
CA_216236,36,2024-12-02,0.449,0.668,0.668
CA_216236,36,2024-12-01,0.561,0.822,0.675
CA_216236,36,2024-11-30,0.661,0.958,0.683
CA_216236,36,2024-11-29,0.749,1.076,0.691
CA_216236,36,2024-11-28,0.793,1.129,0.698
CA_216236,36,2024-11-27,0.843,1.192,0.706
CA_216236,36,2024-11-26,0.856,1.201,0.713
CA_216236,36,2024-11-25,0.884,1.274,0.697
CA_216236,36,2024-11-24,0.93,1.383,0.682
CA_216236,36,2024-11-23,0.842,1.274,0.669
CA_216236,36,2024-11-22,0.74,1.138,0.657
CA_216236,36,2024-11-21,0.686,1.074,0.648
CA_216236,36,2024-11-20,0.635,1.01,0.64
CA_216236,36,2024-11-19,0.592,0.955,0.635
CA_216236,36,2024-11-18,0.556,0.91,0.631
CA_216236,36,2024-11-17,0.545,0.855,0.653
CA_216236,36,2024-11-16,0.536,0.783,0.676
CA_216236,36,2024-11-15,0.589,0.828,0.698
CA_216236,36,2024-11-14,0.673,0.919,0.72
CA_216236,36,2024-11-13,0.73,0.965,0.743
CA_216236,36,2024-11-12,0.844,1.083,0.765
CA_216236,36,2024-11-11,0.889,1.12,0.787
CA_216236,36,2024-11-10,0.957,1.183,0.81
CA_216236,36,2024-11-09,1.003,1.229,0.82
CA_216236,36,2024-11-08,1.001,1.229,0.819
CA_216236,36,2024-11-07,1.004,1.256,0.805
CA_216236,36,2024-11-06,0.978,1.265,0.78
CA_216236,36,2024-11-05,0.97,1.338,0.743
CA_216236,36,2024-11-04,0.923,1.41,0.694
CA_216236,36,2024-11-03,0.992,1.734,0.632
CA_216236,36,2024-11-02,0.996,1.989,0.56
CA_216236,36,2024-11-01,1.013,2.137,0.517
CA_216236,36,2024-10-31,0.982,2.176,0.483
CA_216236,36,2024-10-30,0.939,2.165,0.456
CA_216236,36,2024-10-29,0.945,2.233,0.437
CA_216236,36,2024-10-28,0.966,2.328,0.426
CA_216236,36,2024-10-27,0.946,2.297,0.422
CA_216236,36,2024-10-26,0.849,2.025,0.427
CA_216236,36,2024-10-25,0.87,1.985,0.439
CA_216236,36,2024-10-24,0.869,2.076,0.425
CA_216236,36,2024-10-23,0.912,2.237,0.415
CA_216236,36,2024-10-22,1.018,2.529,0.407
CA_216236,36,2024-10-21,1.069,2.67,0.403
CA_216236,36,2024-10-20,1.028,2.58,0.402
CA_216236,36,2024-10-19,1.06,2.64,0.405
CA_216236,36,2024-10-18,1.119,2.751,0.411
CA_216236,36,2024-10-17,1.106,2.67,0.42
CA_216236,36,2024-10-16,1.131,2.62,0.436
CA_216236,36,2024-10-15,1.073,2.428,0.446
CA_216236,36,2024-10-14,0.936,2.076,0.449
CA_216236,36,2024-10-13,0.916,2.046,0.446
CA_216236,36,2024-10-12,0.985,2.287,0.438
CA_216236,36,2024-10-11,1.0,2.449,0.422
CA_216236,36,2024-10-10,1.022,2.69,0.401
CA_216236,36,2024-10-09,1.046,3.013,0.373
CA_216236,36,2024-10-08,1.026,3.265,0.343
CA_216236,36,2024-10-07,1.054,3.426,0.326
CA_216236,36,2024-10-06,1.137,3.638,0.324
CA_216236,36,2024-10-05,1.172,3.648,0.335
CA_216236,36,2024-10-04,1.109,3.364,0.359
CA_216236,36,2024-10-03,1.106,3.133,0.398
CA_216236,36,2024-10-02,1.234,3.01,0.45
CA_216236,36,2024-10-01,1.35,2.764,0.516
CA_216236,36,2024-09-30,1.384,2.403,0.583
CA_216236,36,2024-09-29,1.562,2.42,0.641
CA_216236,36,2024-09-28,1.8,2.562,0.691
CA_216236,36,2024-09-27,1.988,2.654,0.731
CA_216236,36,2024-09-26,2.191,2.844,0.763
CA_216236,36,2024-09-25,2.372,3.013,0.787
CA_216236,36,2024-09-24,2.531,3.151,0.801
CA_216236,36,2024-09-23,2.599,3.214,0.807
CA_216236,36,2024-09-22,2.896,3.468,0.832
CA_216236,36,2024-09-21,3.09,3.595,0.855
CA_216236,36,2024-09-20,3.304,3.732,0.878
CA_216236,36,2024-09-19,3.449,3.806,0.898
CA_216236,36,2024-09-18,3.845,4.155,0.918
CA_216236,36,2024-09-17,4.166,4.43,0.936
CA_216236,36,2024-09-16,4.195,4.388,0.952
CA_216236,36,2024-09-15,4.364,4.514,0.967
CA_216236,36,2024-09-14,4.377,4.483,0.979
CA_216236,36,2024-09-13,4.49,4.504,1.002
CA_216236,36,2024-09-12,4.551,4.43,1.034
CA_216236,36,2024-09-11,4.697,4.409,1.076
CA_216236,36,2024-09-10,4.664,4.166,1.128
CA_216236,36,2024-09-09,4.756,4.018,1.183
CA_216236,36,2024-09-08,4.84,3.922,1.238
CA_216236,36,2024-09-07,4.829,3.7,1.295
CA_216236,36,2024-09-06,4.682,3.584,1.287
CA_216236,36,2024-09-05,4.339,3.32,1.269
CA_216236,36,2024-09-04,4.38,3.481,1.24
CA_216236,36,2024-09-03,4.521,3.784,1.2
CA_216236,36,2024-09-02,4.428,3.889,1.15
CA_216236,36,2024-09-01,4.333,4.029,1.095
CA_216236,36,2024-08-31,4.391,4.273,1.039
CA_216236,36,2024-08-30,4.509,4.613,0.982
CA_216236,36,2024-08-29,4.828,4.943,0.979
CA_216236,36,2024-08-28,5.214,5.347,0.974
CA_216236,36,2024-08-27,5.07,5.226,0.969
CA_216236,36,2024-08-26,4.659,4.832,0.963
CA_216236,36,2024-08-25,4.283,4.459,0.956
CA_216236,36,2024-08-24,4.13,4.339,0.947
CA_216236,36,2024-08-23,4.084,4.339,0.938
CA_216236,36,2024-08-22,4.078,4.393,0.928
CA_216236,36,2024-08-21,3.967,4.404,0.906
CA_216236,36,2024-08-20,3.874,4.459,0.88
CA_216236,36,2024-08-19,3.849,4.602,0.851
CA_216236,36,2024-08-18,3.992,4.963,0.819
CA_216236,36,2024-08-17,4.273,5.5,0.784
CA_216236,36,2024-08-16,4.203,5.664,0.746
CA_216236,36,2024-08-15,4.017,5.708,0.704
CA_216236,36,2024-08-14,3.734,5.642,0.66
CA_216236,36,2024-08-13,3.48,5.675,0.611
CA_216236,36,2024-08-12,3.235,5.686,0.567
CA_216236,36,2024-08-11,3.022,5.686,0.529
CA_216236,36,2024-08-10,2.837,5.719,0.496
CA_216236,36,2024-08-09,2.67,5.708,0.47
CA_216236,36,2024-08-08,2.531,5.664,0.448
CA_216236,36,2024-08-07,2.447,5.664,0.433
CA_216236,36,2024-08-06,2.439,5.763,0.423
CA_216236,36,2024-08-05,2.484,5.763,0.431
CA_216236,36,2024-08-04,2.604,5.82,0.446
CA_216236,36,2024-08-03,2.806,5.943,0.469
