field_id,crop,time,fret_et,fret_eto,fret_etof
CA_27267,61,2024-09-13,0.247,4.94,0.05
CA_27267,61,2024-09-14,1.125,5.41,0.208
CA_27267,61,2024-09-15,1.242,5.75,0.216
CA_27267,61,2024-09-16,0.999,4.4,0.227
CA_27267,61,2024-09-17,1.031,4.26,0.242
CA_27267,61,2024-09-18,1.063,4.09,0.26
CA_27267,61,2024-09-19,1.148,4.19,0.274
CA_27267,61,2024-09-20,,,0.283
CA_297922,75,2024-09-13,3.55,4.34,0.818
CA_297922,75,2024-09-14,2.873,4.32,0.665
CA_297922,75,2024-09-15,3.028,4.56,0.664
CA_297922,75,2024-09-16,2.434,3.66,0.665
CA_297922,75,2024-09-17,2.432,3.64,0.668
CA_297922,75,2024-09-18,2.43,3.61,0.673
CA_297922,75,2024-09-19,2.021,2.99,0.676
CA_297922,75,2024-09-20,,,0.678
CA_297927,61,2024-09-13,0.06,4.28,0.014
CA_297927,61,2024-09-14,0.309,4.35,0.071
CA_297927,61,2024-09-15,0.363,4.91,0.074
CA_297927,61,2024-09-16,0.315,4.15,0.076
CA_297927,61,2024-09-17,0.3,3.89,0.077
CA_297927,61,2024-09-18,0.279,3.62,0.077
CA_297927,61,2024-09-19,0.26,3.46,0.075
CA_297927,61,2024-09-20,,,0.071
CA_297932,204,2024-09-13,1.597,4.9,0.326
CA_297932,204,2024-09-14,2.064,4.69,0.44
CA_297932,204,2024-09-15,2.115,4.84,0.437
CA_297932,204,2024-09-16,1.656,3.78,0.438
CA_297932,204,2024-09-17,1.679,3.79,0.443
CA_297932,204,2024-09-18,1.681,3.72,0.452
CA_297932,204,2024-09-19,1.383,3.02,0.458
CA_297932,204,2024-09-20,,,0.461
CA_297950,204,2024-09-13,1.608,5.01,0.321
CA_297950,204,2024-09-14,0.794,4.87,0.163
CA_297950,204,2024-09-15,0.82,5.06,0.162
CA_297950,204,2024-09-16,0.659,4.02,0.164
CA_297950,204,2024-09-17,0.661,3.89,0.17
CA_297950,204,2024-09-18,0.676,3.8,0.178
CA_297950,204,2024-09-19,0.609,3.29,0.185
CA_297950,204,2024-09-20,,,0.191
CA_297962,61,2024-09-13,0.804,4.23,0.19
CA_297962,61,2024-09-14,0.71,4.25,0.167
CA_297962,61,2024-09-15,0.754,4.41,0.171
CA_297962,61,2024-09-16,0.616,3.46,0.178
CA_297962,61,2024-09-17,0.66,3.49,0.189
CA_297962,61,2024-09-18,0.702,3.44,0.204
CA_297962,61,2024-09-19,0.606,2.82,0.215
CA_297962,61,2024-09-20,,,0.222
CA_298024,204,2024-09-13,1.56,4.8,0.325
CA_298024,204,2024-09-14,1.16,4.62,0.251
CA_298024,204,2024-09-15,1.272,4.97,0.256
CA_298024,204,2024-09-16,1.045,3.96,0.264
CA_298024,204,2024-09-17,1.06,3.87,0.274
CA_298024,204,2024-09-18,1.072,3.75,0.286
CA_298024,204,2024-09-19,0.965,3.26,0.296
CA_298024,204,2024-09-20,,,0.302
CA_298067,47,2024-09-13,2.844,4.92,0.578
CA_298067,47,2024-09-14,2.159,4.83,0.447
CA_298067,47,2024-09-15,2.232,4.95,0.451
CA_298067,47,2024-09-16,1.756,3.85,0.456
CA_298067,47,2024-09-17,1.736,3.75,0.463
CA_298067,47,2024-09-18,1.769,3.74,0.473
CA_298067,47,2024-09-19,1.488,3.1,0.48
CA_298067,47,2024-09-20,,,0.484
CA_298100,69,2024-09-13,2.372,4.36,0.544
CA_298100,69,2024-09-14,2.51,4.32,0.581
CA_298100,69,2024-09-15,2.66,4.57,0.582
CA_298100,69,2024-09-16,2.123,3.66,0.58
CA_298100,69,2024-09-17,2.095,3.65,0.574
CA_298100,69,2024-09-18,2.055,3.63,0.566
CA_298100,69,2024-09-19,1.648,2.97,0.555
CA_298100,69,2024-09-20,,,0.541
CA_298141,72,2024-09-13,2.106,5.05,0.417
CA_298141,72,2024-09-14,1.198,4.95,0.242
CA_298141,72,2024-09-15,1.242,5.09,0.244
CA_298141,72,2024-09-16,0.962,3.85,0.25
CA_298141,72,2024-09-17,0.982,3.82,0.257
CA_298141,72,2024-09-18,1.036,3.88,0.267
CA_298141,72,2024-09-19,0.88,3.12,0.282
CA_298141,72,2024-09-20,,,0.293
CA_298142,72,2024-09-13,2.07,5.05,0.41
CA_298142,72,2024-09-14,1.163,4.95,0.235
CA_298142,72,2024-09-15,1.211,5.09,0.238
CA_298142,72,2024-09-16,0.943,3.85,0.245
CA_298142,72,2024-09-17,0.974,3.82,0.255
CA_298142,72,2024-09-18,1.044,3.88,0.269
CA_298142,72,2024-09-19,0.908,3.12,0.291
CA_298142,72,2024-09-20,,,0.308
CA_298159,72,2024-09-13,3.572,5.11,0.699
CA_298159,72,2024-09-14,2.45,4.98,0.492
CA_298159,72,2024-09-15,2.549,5.15,0.495
CA_298159,72,2024-09-16,1.872,3.76,0.498
CA_298159,72,2024-09-17,1.932,3.84,0.503
CA_298159,72,2024-09-18,1.956,3.85,0.508
CA_298159,72,2024-09-19,1.564,3.09,0.506
CA_298159,72,2024-09-20,,,0.503
CA_298160,72,2024-09-13,4.252,5.11,0.832
CA_298160,72,2024-09-14,2.764,4.98,0.555
CA_298160,72,2024-09-15,2.884,5.15,0.56
