time,fret_eto,field_id,crop
2024-10-07,2.93,CA_420924,68
2024-10-08,2.58,CA_420924,68
2024-10-09,2.26,CA_420924,68
2024-10-10,1.96,CA_420924,68
2024-10-11,2.2,CA_420924,68
2024-10-12,2.28,CA_420924,68
2024-10-13,2.25,CA_420924,68
2024-10-07,3.46,CA_420910,211
2024-10-08,3.88,CA_420910,211
2024-10-09,3.9,CA_420910,211
2024-10-10,3.26,CA_420910,211
2024-10-11,3.44,CA_420910,211
2024-10-12,3.58,CA_420910,211
2024-10-13,3.53,CA_420910,211
2024-10-07,4.18,CA_420876,215
2024-10-08,4.33,CA_420876,215
2024-10-09,3.87,CA_420876,215
2024-10-10,3.27,CA_420876,215
2024-10-11,3.54,CA_420876,215
2024-10-12,3.2,CA_420876,215
2024-10-13,3.36,CA_420876,215
2024-10-07,4.26,CA_420843,47
2024-10-08,4.89,CA_420843,47
2024-10-09,4.37,CA_420843,47
2024-10-10,3.55,CA_420843,47
2024-10-11,3.8,CA_420843,47
2024-10-12,3.55,CA_420843,47
2024-10-13,3.53,CA_420843,47
2024-10-07,4.18,CA_420824,72
2024-10-08,4.33,CA_420824,72
2024-10-09,3.87,CA_420824,72
2024-10-10,3.27,CA_420824,72
2024-10-11,3.54,CA_420824,72
2024-10-12,3.2,CA_420824,72
2024-10-13,3.36,CA_420824,72
2024-10-07,4.89,CA_420803,72
2024-10-08,5.12,CA_420803,72
2024-10-09,4.41,CA_420803,72
2024-10-10,3.88,CA_420803,72
2024-10-11,4.05,CA_420803,72
2024-10-12,3.5,CA_420803,72
2024-10-13,3.71,CA_420803,72
2024-10-07,3.97,CA_420782,72
2024-10-08,3.84,CA_420782,72
2024-10-09,3.31,CA_420782,72
2024-10-10,2.88,CA_420782,72
2024-10-11,3.09,CA_420782,72
2024-10-12,2.8,CA_420782,72
2024-10-13,2.94,CA_420782,72
2024-10-07,4.36,CA_420780,72
2024-10-08,4.39,CA_420780,72
2024-10-09,3.91,CA_420780,72
2024-10-10,3.43,CA_420780,72
2024-10-11,3.6,CA_420780,72
2024-10-12,3.33,CA_420780,72
2024-10-13,3.48,CA_420780,72
2024-10-07,3.7,CA_420765,211
2024-10-08,4.84,CA_420765,211
2024-10-09,4.31,CA_420765,211
2024-10-10,3.49,CA_420765,211
2024-10-11,3.65,CA_420765,211
2024-10-12,3.94,CA_420765,211
2024-10-13,3.73,CA_420765,211
2024-10-07,4.18,CA_420761,215
2024-10-08,4.33,CA_420761,215
2024-10-09,3.87,CA_420761,215
2024-10-10,3.27,CA_420761,215
2024-10-11,3.54,CA_420761,215
2024-10-12,3.2,CA_420761,215
2024-10-13,3.36,CA_420761,215
2024-10-07,3.97,CA_258026,61
2024-10-08,3.84,CA_258026,61
2024-10-09,3.31,CA_258026,61
2024-10-10,2.88,CA_258026,61
2024-10-11,3.09,CA_258026,61
2024-10-12,2.8,CA_258026,61
2024-10-13,2.94,CA_258026,61
2024-10-07,3.43,CA_258017,47
2024-10-08,2.85,CA_258017,47
2024-10-09,2.41,CA_258017,47
2024-10-10,2.23,CA_258017,47
2024-10-11,2.53,CA_258017,47
2024-10-12,2.39,CA_258017,47
2024-10-13,2.4,CA_258017,47
2024-10-07,3.24,CA_257983,47
2024-10-08,2.82,CA_257983,47
2024-10-09,2.29,CA_257983,47
2024-10-10,2.09,CA_257983,47
2024-10-11,2.45,CA_257983,47
2024-10-12,2.28,CA_257983,47
2024-10-13,2.29,CA_257983,47
2024-10-07,3.12,CA_257978,47
2024-10-08,2.64,CA_257978,47
2024-10-09,2.3,CA_257978,47
2024-10-10,2.1,CA_257978,47
2024-10-11,2.42,CA_257978,47
2024-10-12,2.3,CA_257978,47
2024-10-13,2.34,CA_257978,47
2024-10-07,2.95,CA_257950,47
2024-10-08,2.47,CA_257950,47
2024-10-09,2.18,CA_257950,47
2024-10-10,1.94,CA_257950,47
2024-10-11,2.28,CA_257950,47
2024-10-12,2.21,CA_257950,47
2024-10-13,2.17,CA_257950,47
2024-10-07,2.37,CA_257925,47
2024-10-08,1.98,CA_257925,47
2024-10-09,1.68,CA_257925,47
2024-10-10,1.5,CA_257925,47
2024-10-11,1.88,CA_257925,47
2024-10-12,1.82,CA_257925,47
2024-10-13,1.72,CA_257925,47
2024-10-07,3.32,CA_257924,47
2024-10-08,2.75,CA_257924,47
2024-10-09,2.37,CA_257924,47
2024-10-10,2.19,CA_257924,47
2024-10-11,2.38,CA_257924,47
2024-10-12,2.38,CA_257924,47
2024-10-13,2.32,CA_257924,47
2024-10-07,2.93,CA_257846,47
2024-10-08,2.58,CA_257846,47
2024-10-09,2.26,CA_257846,47
2024-10-10,1.96,CA_257846,47
2024-10-11,2.2,CA_257846,47
2024-10-12,2.28,CA_257846,47
2024-10-13,2.25,CA_257846,47
2024-10-07,3.11,CA_257811,47
2024-10-08,2.63,CA_257811,47
2024-10-09,2.23,CA_257811,47
2024-10-10,2.07,CA_257811,47
2024-10-11,2.35,CA_257811,47
2024-10-12,2.23,CA_257811,47
2024-10-13,2.3,CA_257811,47
2024-10-07,2.96,CA_257789,47
2024-10-08,2.48,CA_257789,47
2024-10-09,2.15,CA_257789,47
2024-10-10,1.91,CA_257789,47
2024-10-11,2.15,CA_257789,47
2024-10-12,2.22,CA_257789,47
2024-10-13,2.18,CA_257789,47
2024-10-07,2.57,CA_257773,47
2024-10-08,2.17,CA_257773,47
2024-10-09,1.82,CA_257773,47
2024-10-10,1.61,CA_257773,47
2024-10-11,1.91,CA_257773,47
2024-10-12,1.89,CA_257773,47
2024-10-13,1.88,CA_257773,47
2024-10-07,2.57,CA_257772,47
2024-10-08,2.17,CA_257772,47
2024-10-09,1.82,CA_257772,47
2024-10-10,1.61,CA_257772,47
2024-10-11,1.91,CA_257772,47
2024-10-12,1.89,CA_257772,47
2024-10-13,1.88,CA_257772,47
2024-10-07,3.24,CA_257756,47
2024-10-08,2.82,CA_257756,47
2024-10-09,2.29,CA_257756,47
2024-10-10,2.09,CA_257756,47
2024-10-11,2.45,CA_257756,47
2024-10-12,2.28,CA_257756,47
2024-10-13,2.29,CA_257756,47
2024-10-07,3.64,CA_257744,47
2024-10-08,3.07,CA_257744,47
2024-10-09,2.6,CA_257744,47
2024-10-10,2.28,CA_257744,47
2024-10-11,2.51,CA_257744,47
2024-10-12,2.5,CA_257744,47
2024-10-13,2.5,CA_257744,47
2024-10-07,3.39,CA_257741,47
2024-10-08,2.87,CA_257741,47
2024-10-09,2.46,CA_257741,47
2024-10-10,2.19,CA_257741,47
2024-10-11,2.42,CA_257741,47
2024-10-12,2.44,CA_257741,47
2024-10-13,2.42,CA_257741,47
2024-10-07,2.79,CA_257714,47
2024-10-08,2.37,CA_257714,47
2024-10-09,2.06,CA_257714,47
2024-10-10,1.82,CA_257714,47
2024-10-11,2.16,CA_257714,47
2024-10-12,2.2,CA_257714,47
2024-10-13,2.05,CA_257714,47
2024-10-07,3.2,CA_257652,47
2024-10-08,2.74,CA_257652,47
2024-10-09,2.38,CA_257652,47
2024-10-10,2.09,CA_257652,47
2024-10-11,2.35,CA_257652,47
2024-10-12,2.38,CA_257652,47
2024-10-13,2.34,CA_257652,47
2024-10-07,3.22,CA_257648,47
2024-10-08,2.7,CA_257648,47
2024-10-09,2.34,CA_257648,47
2024-10-10,2.09,CA_257648,47
2024-10-11,2.34,CA_257648,47
2024-10-12,2.36,CA_257648,47
2024-10-13,2.28,CA_257648,47
2024-10-07,3.38,CA_257626,61
2024-10-08,2.88,CA_257626,61
2024-10-09,2.42,CA_257626,61
2024-10-10,2.13,CA_257626,61
2024-10-11,2.36,CA_257626,61
2024-10-12,2.47,CA_257626,61
2024-10-13,2.45,CA_257626,61
2024-10-07,3.15,CA_257622,47
2024-10-08,2.64,CA_257622,47
2024-10-09,2.27,CA_257622,47
2024-10-10,2.03,CA_257622,47
2024-10-11,2.29,CA_257622,47
2024-10-12,2.36,CA_257622,47
2024-10-13,2.26,CA_257622,47
2024-10-07,3.37,CA_257603,47
2024-10-08,2.89,CA_257603,47
2024-10-09,2.45,CA_257603,47
2024-10-10,2.19,CA_257603,47
2024-10-11,2.42,CA_257603,47
