time,et
2016-01-01,1.066
2016-01-02,1.066
2016-01-03,1.172
2016-01-04,0.64
2016-01-05,0.853
2016-01-06,0.64
2016-01-07,0.533
2016-01-08,0.64
2016-01-09,0.64
2016-01-10,0.853
2016-01-11,0.959
2016-01-12,1.066
2016-01-13,1.172
2016-01-14,0.426
2016-01-15,0.64
2016-01-16,0.853
2016-01-17,0.746
2016-01-18,1.172
2016-01-19,1.279
2016-01-20,0.959
2016-01-21,1.172
2016-01-22,0.64
2016-01-23,1.279
2016-01-24,0.959
2016-01-25,1.172
2016-01-26,0.959
2016-01-27,1.279
2016-01-28,0.85
2016-01-29,0.741
2016-01-30,1.16
2016-01-31,2.101
2016-02-01,2.602
2016-02-02,2.178
2016-02-03,1.963
2016-02-04,2.059
2016-02-05,1.743
2016-02-06,1.941
2016-02-07,2.443
2016-02-08,1.927
2016-02-09,1.616
2016-02-10,1.711
2016-02-11,1.403
2016-02-12,1.398
2016-02-13,1.592
2016-02-14,2.676
2016-02-15,1.974
2016-02-16,1.77
2016-02-17,1.371
2016-02-18,2.439
2016-02-19,1.749
2016-02-20,1.936
2016-02-21,1.934
2016-02-22,1.836
2016-02-23,1.448
2016-02-24,1.446
2016-02-25,1.445
2016-02-26,1.347
2016-02-27,1.442
2016-02-28,1.536
2016-02-29,1.631
2016-03-01,2.58
2016-03-02,2.393
2016-03-03,1.471
2016-03-04,1.837
2016-03-05,1.376
2016-03-06,1.925
2016-03-07,1.465
2016-03-08,1.464
2016-03-09,1.371
2016-03-10,1.278
2016-03-11,1.003
2016-03-12,1.64
2016-03-13,1.365
2016-03-14,2.0
2016-03-15,2.18
2016-03-16,2.753
2016-03-17,2.873
2016-03-18,2.808
2016-03-19,2.931
2016-03-20,2.005
2016-03-21,1.832
2016-03-22,2.725
2016-03-23,3.341
2016-03-24,2.975
2016-03-25,3.504
2016-03-26,4.041
2016-03-27,3.467
2016-03-28,2.675
2016-03-29,3.841
2016-03-30,3.666
2016-03-31,3.91
2016-04-01,3.697
2016-04-02,3.738
2016-04-03,4.073
2016-04-04,4.103
2016-04-05,5.089
2016-04-06,4.906
2016-04-07,4.171
2016-04-08,3.277
2016-04-09,1.608
2016-04-10,1.578
2016-04-11,2.408
2016-04-12,3.121
2016-04-13,3.721
2016-04-14,3.078
2016-04-15,4.364
2016-04-16,4.583
2016-04-17,3.496
2016-04-18,3.729
2016-04-19,3.652
2016-04-20,3.886
2016-04-21,3.497
2016-04-22,2.254
2016-04-23,3.032
2016-04-24,3.343
2016-04-25,3.913
2016-04-26,3.006
2016-04-27,2.177
2016-04-28,3.165
2016-04-29,2.79
2016-04-30,4.066
2016-05-01,2.889
2016-05-02,2.353
2016-05-03,2.04
2016-05-04,2.035
2016-05-05,1.49
2016-05-06,1.212
2016-05-07,0.591
2016-05-08,1.344
2016-05-09,1.646
2016-05-10,2.075
2016-05-11,1.997
2016-05-12,2.021
2016-05-13,1.81
2016-05-14,1.703
2016-05-15,1.658
2016-05-16,1.836
2016-05-17,2.123
2016-05-18,2.067
2016-05-19,1.672
2016-05-20,1.337
2016-05-21,1.231
2016-05-22,1.343
2016-05-23,1.229
2016-05-24,1.46
2016-05-25,1.58
2016-05-26,1.856
2016-05-27,1.885
2016-05-28,2.039
2016-05-29,2.134
2016-05-30,2.133
2016-05-31,2.263
2016-06-01,2.257
2016-06-02,2.161
2016-06-03,2.126
2016-06-04,1.989
2016-06-05,2.42
2016-06-06,2.486
2016-06-07,2.312
2016-06-08,2.378
2016-06-09,2.373
2016-06-10,2.368
2016-06-11,2.398
2016-06-12,2.575
2016-06-13,2.644
2016-06-14,2.337
2016-06-15,1.793
2016-06-16,2.161
2016-06-17,1.21
2016-06-18,2.054
2016-06-19,2.517
2016-06-20,2.319
2016-06-21,2.454
2016-06-22,2.733
2016-06-23,2.579
2016-06-24,2.03
2016-06-25,2.213
2016-06-26,1.983
2016-06-27,1.618
2016-06-28,1.794
2016-06-29,1.921
2016-06-30,1.704
2016-07-01,1.816
2016-07-02,1.82
2016-07-03,1.775
2016-07-04,1.755
2016-07-05,1.66
2016-07-06,1.633
2016-07-07,1.606
2016-07-08,1.556
2016-07-09,1.553
2016-07-10,1.389
2016-07-11,1.611
2016-07-12,1.56
2016-07-13,1.467
2016-07-14,1.462
2016-07-15,1.415
2016-07-16,1.581
2016-07-17,1.491
2016-07-18,1.444
2016-07-19,1.418
2016-07-20,1.435
2016-07-21,1.493
2016-07-22,1.375
2016-07-23,1.788
2016-07-24,1.521
2016-07-25,1.66
2016-07-26,1.431
2016-07-27,1.527
2016-07-28,1.536
2016-07-29,1.634
2016-07-30,1.764
2016-07-31,1.567
2016-08-01,1.415
2016-08-02,1.353
2016-08-03,1.394
2016-08-04,1.234
2016-08-05,1.117
2016-08-06,1.196
2016-08-07,1.221
2016-08-08,1.328
2016-08-09,1.374
2016-08-10,1.421
2016-08-11,1.422
2016-08-12,1.585
2016-08-13,1.561
2016-08-14,1.808
2016-08-15,1.624
2016-08-16,1.616
2016-08-17,1.633
2016-08-18,1.575
2016-08-19,1.641
2016-08-20,1.608
2016-08-21,1.552
2016-08-22,1.399
2016-08-23,1.426
2016-08-24,1.453
2016-08-25,1.506
2016-08-26,1.404
2016-08-27,1.403
2016-08-28,1.481
2016-08-29,1.507
2016-08-30,1.756
2016-08-31,1.658
2016-09-01,1.462
2016-09-02,1.397
2016-09-03,1.385
2016-09-04,1.126
2016-09-05,1.213
2016-09-06,1.109
2016-09-07,1.232
2016-09-08,1.25
2016-09-09,1.194
2016-09-10,1.329
2016-09-11,1.268
2016-09-12,1.148
2016-09-13,1.047
2016-09-14,1.186
2016-09-15,1.161
2016-09-16,1.127
2016-09-17,1.061
2016-09-18,0.99
2016-09-19,1.194
2016-09-20,1.085
2016-09-21,0.753
2016-09-22,0.516
2016-09-23,0.516
2016-09-24,0.765
2016-09-25,0.8
2016-09-26,0.763
2016-09-27,0.811
2016-09-28,1.0
2016-09-29,1.208
2016-09-30,1.159
2016-10-01,1.079
2016-10-02,1.011
2016-10-03,0.497
2016-10-04,0.908
2016-10-05,1.216
2016-10-06,1.511
2016-10-07,1.277
2016-10-08,1.059
2016-10-09,1.449
2016-10-10,1.742
2016-10-11,1.34
2016-10-12,1.34
2016-10-13,1.381
2016-10-14,0.321
2016-10-15,0.52
2016-10-16,0.389
2016-10-17,0.899
2016-10-18,1.292
2016-10-19,1.869
2016-10-20,1.157
2016-10-21,1.364
2016-10-22,1.464
2016-10-23,1.628
2016-10-24,1.364
2016-10-25,0.319
2016-10-26,1.505
2016-10-27,0.672
2016-10-28,0.62
2016-10-29,0.847
2016-10-30,0.651
2016-10-31,1.037
2016-11-01,1.18
2016-11-02,1.448
2016-11-03,1.314
2016-11-04,1.112
2016-11-05,1.135
2016-11-06,0.949
2016-11-07,0.84
2016-11-08,0.799
2016-11-09,0.874
2016-11-10,0.716
2016-11-11,0.779
2016-11-12,0.683
2016-11-13,0.547
2016-11-14,0.551
2016-11-15,0.549
2016-11-16,0.505
2016-11-17,0.526
2016-11-18,0.565
2016-11-19,0.271
2016-11-20,0.214
2016-11-21,0.247
2016-11-22,0.251
2016-11-23,0.286
2016-11-24,0.257
2016-11-25,0.293
2016-11-26,0.132
2016-11-27,0.333
2016-11-28,0.169
2016-11-29,0.341
2016-11-30,0.276
2016-12-01,0.671
2016-12-02,1.038
2016-12-03,0.525
2016-12-04,0.286
2016-12-05,0.248
2016-12-06,0.292
2016-12-07,0.211
2016-12-08,0.085
2016-12-09,0.302
2016-12-10,0.087
2016-12-11,0.22
2016-12-12,0.311
2016-12-13,0.274
2016-12-14,0.281
2016-12-15,0.096
2016-12-16,0.197
2016-12-17,0.504
2016-12-18,0.568
2016-12-19,0.528
2016-12-20,0.432
2016-12-21,0.442
2016-12-22,0.451
2016-12-23,0.231
2016-12-24,0.235
2016-12-25,0.36
2016-12-26,0.551
2016-12-27,0.437
2016-12-28,0.7
2016-12-29,0.377
2016-12-30,0.497
2016-12-31,0.552
2017-01-01,0.643
2017-01-02,0.692
2017-01-03,0.513
2017-01-04,0.225
2017-01-05,0.222
2017-01-06,0.384
2017-01-07,0.651
2017-01-08,0.643
2017-01-09,0.582
2017-01-10,0.523
2017-01-11,0.62
2017-01-12,0.255
2017-01-13,0.655
2017-01-14,0.429
2017-01-15,0.454
2017-01-16,0.54
2017-01-17,0.316
2017-01-18,0.464
2017-01-19,0.904
2017-01-20,0.8
2017-01-21,0.987
2017-01-22,1.061
2017-01-23,0.756
2017-01-24,0.83
2017-01-25,0.603
2017-01-26,0.827
2017-01-27,1.051
2017-01-28,0.899
2017-01-29,0.972
2017-01-30,0.746
2017-01-31,0.745
2017-02-01,0.517
2017-02-02,0.811
2017-02-03,1.178
2017-02-04,1.028
2017-02-05,0.953
2017-02-06,1.024
2017-02-07,1.168
2017-02-08,0.875
2017-02-09,0.436
2017-02-10,1.016
2017-02-11,1.521
2017-02-12,1.446
2017-02-13,0.938
2017-02-14,1.152
2017-02-15,0.878
2017-02-16,1.634
2017-02-17,0.98
2017-02-18,0.995
2017-02-19,0.776
2017-02-20,1.181
2017-02-21,1.278
2017-02-22,1.296
2017-02-23,1.396
2017-02-24,1.582
2017-02-25,1.097
2017-02-26,1.71
2017-02-27,1.56
2017-02-28,1.668
2017-03-01,1.966
2017-03-02,1.904
2017-03-03,1.822
2017-03-04,2.089
2017-03-05,1.658
2017-03-06,1.662
2017-03-07,1.316
2017-03-08,2.375
2017-03-09,2.293
2017-03-10,2.123
2017-03-11,2.306
2017-03-12,2.846
2017-03-13,2.497
2017-03-14,2.682
2017-03-15,2.241
2017-03-16,2.427
2017-03-17,2.703
2017-03-18,2.62
2017-03-19,2.446
2017-03-20,1.907
2017-03-21,2.277
2017-03-22,1.917
2017-03-23,2.563
2017-03-24,1.56
2017-03-25,2.3
2017-03-26,1.845
2017-03-27,2.682
2017-03-28,4.266
2017-03-29,3.068
2017-03-30,3.355
2017-03-31,5.233
2017-04-01,4.718
2017-04-02,4.359
2017-04-03,4.835
2017-04-04,2.815
2017-04-05,3.787
2017-04-06,2.292
2017-04-07,2.313
2017-04-08,2.43
2017-04-09,3.235
2017-04-10,3.659
2017-04-11,2.892
2017-04-12,2.715
2017-04-13,2.637
2017-04-14,3.886
2017-04-15,3.815
2017-04-16,2.287
2017-04-17,2.305
2017-04-18,3.275
2017-04-19,4.259
2017-04-20,4.329
2017-04-21,5.444
2017-04-22,4.568
2017-04-23,4.837
2017-04-24,2.857
2017-04-25,3.338
2017-04-26,2.506
2017-04-27,4.571
2017-04-28,6.181
2017-04-29,6.501
2017-04-30,5.016
2017-05-01,7.131
2017-05-02,7.057
2017-05-03,5.916
2017-05-04,5.643
2017-05-05,5.27
2017-05-06,3.928
2017-05-07,4.742
2017-05-08,4.784
2017-05-09,5.045
2017-05-10,3.788
2017-05-11,3.663
2017-05-12,3.529
2017-05-13,3.322
2017-05-14,3.166
2017-05-15,3.245
2017-05-16,1.678
2017-05-17,2.855
2017-05-18,3.337
2017-05-19,2.617
2017-05-20,2.664
2017-05-21,2.436
2017-05-22,2.635
2017-05-23,2.798
2017-05-24,2.701
2017-05-25,2.548
2017-05-26,2.336
2017-05-27,2.733
2017-05-28,3.048
2017-05-29,2.973
2017-05-30,2.845
2017-05-31,2.323
2017-06-01,2.666
2017-06-02,2.917
2017-06-03,2.888
2017-06-04,3.041
2017-06-05,2.785
2017-06-06,3.068
2017-06-07,2.68
2017-06-08,0.786
2017-06-09,1.505
2017-06-10,1.91
2017-06-11,1.387
2017-06-12,1.273
2017-06-13,1.581
2017-06-14,1.544
2017-06-15,1.529
2017-06-16,1.625
2017-06-17,1.594
2017-06-18,1.651
2017-06-19,1.263
2017-06-20,1.093
2017-06-21,0.932
2017-06-22,1.056
2017-06-23,1.011
2017-06-24,1.038
2017-06-25,1.166
2017-06-26,1.27
2017-06-27,1.409
2017-06-28,1.595
2017-06-29,1.79
2017-06-30,2.05
2017-07-01,1.809
2017-07-02,1.724
2017-07-03,1.712
2017-07-04,1.646
2017-07-05,1.492
2017-07-06,1.446
2017-07-07,1.626
2017-07-08,1.484
2017-07-09,1.389
2017-07-10,1.42
2017-07-11,1.377
2017-07-12,1.333
2017-07-13,1.364
2017-07-14,1.394
2017-07-15,1.425
2017-07-16,1.571
2017-07-17,1.741
2017-07-18,1.605
2017-07-19,1.412
2017-07-20,1.448
2017-07-21,1.389
2017-07-22,1.311
2017-07-23,1.518
2017-07-24,1.478
2017-07-25,1.343
2017-07-26,1.323
2017-07-27,1.302
2017-07-28,1.488
2017-07-29,1.411
2017-07-30,1.334
2017-07-31,1.388
2017-08-01,1.327
2017-08-02,1.387
2017-08-03,1.631
2017-08-04,1.435
2017-08-05,1.531
2017-08-06,1.605
2017-08-07,1.654
2017-08-08,1.753
2017-08-09,1.8
2017-08-10,1.72
2017-08-11,1.854
2017-08-12,1.983
2017-08-13,1.876
2017-08-14,1.417
2017-08-15,1.395
2017-08-16,1.373
2017-08-17,1.447
2017-08-18,1.546
2017-08-19,1.647
2017-08-20,1.599
2017-08-21,1.471
2017-08-22,1.547
2017-08-23,1.758
2017-08-24,1.705
2017-08-25,1.566
2017-08-26,1.646
2017-08-27,2.124
2017-08-28,1.696
2017-08-29,2.012
2017-08-30,1.953
2017-08-31,1.74
2017-09-01,2.259
2017-09-02,1.826
2017-09-03,1.987
2017-09-04,1.626
2017-09-05,1.494
2017-09-06,1.251
2017-09-07,0.808
2017-09-08,0.848
2017-09-09,0.779
2017-09-10,0.701
2017-09-11,0.79
2017-09-12,0.868
2017-09-13,0.733
2017-09-14,0.664
2017-09-15,0.757
