time,eto
2016-01-01,1.402
2016-01-02,0.964
2016-01-03,0.876
2016-01-04,0.526
2016-01-05,0.438
2016-01-06,0.613
2016-01-07,0.526
2016-01-08,0.526
2016-01-09,0.438
2016-01-10,0.876
2016-01-11,0.876
2016-01-12,1.139
2016-01-13,0.964
2016-01-14,0.263
2016-01-15,0.613
2016-01-16,1.315
2016-01-17,1.402
2016-01-18,0.964
2016-01-19,1.227
2016-01-20,0.701
2016-01-21,0.789
2016-01-22,0.438
2016-01-23,1.227
2016-01-24,0.613
2016-01-25,0.876
2016-01-26,0.789
2016-01-27,0.964
2016-01-28,0.701
2016-01-29,0.701
2016-01-30,0.876
2016-01-31,2.454
2016-02-01,2.7
2016-02-02,1.639
2016-02-03,1.928
2016-02-04,2.314
2016-02-05,1.543
2016-02-06,1.832
2016-02-07,3.375
2016-02-08,3.182
2016-02-09,1.736
2016-02-10,1.736
2016-02-11,1.446
2016-02-12,1.543
2016-02-13,2.121
2016-02-14,2.989
2016-02-15,2.41
2016-02-16,2.218
2016-02-17,0.964
2016-02-18,2.893
2016-02-19,1.736
2016-02-20,1.928
2016-02-21,1.543
2016-02-22,2.121
2016-02-23,1.832
2016-02-24,1.543
2016-02-25,1.639
2016-02-26,1.061
2016-02-27,1.157
2016-02-28,1.35
2016-02-29,1.543
2016-03-01,2.388
2016-03-02,2.113
2016-03-03,1.286
2016-03-04,1.562
2016-03-05,1.01
2016-03-06,1.837
2016-03-07,1.745
2016-03-08,1.378
2016-03-09,1.286
2016-03-10,0.643
2016-03-11,0.919
2016-03-12,1.378
2016-03-13,1.378
2016-03-14,1.929
2016-03-15,2.113
2016-03-16,3.491
2016-03-17,3.583
2016-03-18,2.848
2016-03-19,2.848
2016-03-20,1.653
2016-03-21,1.286
2016-03-22,2.205
2016-03-23,3.031
2016-03-24,2.848
2016-03-25,3.858
2016-03-26,3.95
2016-03-27,2.848
2016-03-28,3.399
2016-03-29,3.766
2016-03-30,3.399
2016-03-31,3.031
2016-04-01,3.186
2016-04-02,3.459
2016-04-03,4.005
2016-04-04,4.187
2016-04-05,5.916
2016-04-06,6.189
2016-04-07,4.278
2016-04-08,3.55
2016-04-09,2.002
2016-04-10,2.002
2016-04-11,2.184
2016-04-12,2.64
2016-04-13,3.459
2016-04-14,3.368
2016-04-15,5.006
2016-04-16,6.098
2016-04-17,5.097
2016-04-18,4.733
2016-04-19,4.733
2016-04-20,5.006
2016-04-21,4.278
2016-04-22,2.366
2016-04-23,3.004
2016-04-24,4.005
2016-04-25,5.37
2016-04-26,4.187
2016-04-27,3.095
2016-04-28,5.37
2016-04-29,4.824
2016-04-30,7.281
2016-05-01,6.133
2016-05-02,5.422
2016-05-03,4.533
2016-05-04,4.089
2016-05-05,2.933
2016-05-06,3.022
2016-05-07,1.244
2016-05-08,3.467
2016-05-09,4.089
2016-05-10,5.689
2016-05-11,6.044
2016-05-12,5.867
2016-05-13,5.422
2016-05-14,4.355
2016-05-15,5.067
2016-05-16,6.4
2016-05-17,7.378
2016-05-18,7.289
2016-05-19,5.155
2016-05-20,3.378
2016-05-21,3.911
2016-05-22,3.911
2016-05-23,4.267
2016-05-24,4.533
2016-05-25,4.267
2016-05-26,5.155
2016-05-27,6.311
2016-05-28,6.667
2016-05-29,5.6
2016-05-30,6.667
2016-05-31,6.933
2016-06-01,6.209
2016-06-02,5.684
2016-06-03,6.908
2016-06-04,5.334
2016-06-05,5.422
2016-06-06,6.034
2016-06-07,5.946
2016-06-08,5.684
2016-06-09,5.772
2016-06-10,5.684
2016-06-11,7.433
2016-06-12,6.646
2016-06-13,5.772
2016-06-14,4.897
2016-06-15,3.41
2016-06-16,4.372
2016-06-17,2.973
2016-06-18,4.46
2016-06-19,5.772
2016-06-20,5.159
2016-06-21,5.509
2016-06-22,6.733
2016-06-23,6.559
2016-06-24,6.034
2016-06-25,7.433
2016-06-26,6.384
2016-06-27,6.384
2016-06-28,6.384
2016-06-29,5.684
2016-06-30,6.296
2016-07-01,5.77
2016-07-02,5.937
2016-07-03,5.854
2016-07-04,5.854
2016-07-05,5.519
2016-07-06,5.185
2016-07-07,5.519
2016-07-08,5.185
2016-07-09,5.352
2016-07-10,4.767
2016-07-11,6.188
2016-07-12,5.185
2016-07-13,5.519
2016-07-14,5.352
2016-07-15,5.436
2016-07-16,5.854
2016-07-17,5.603
2016-07-18,5.686
2016-07-19,5.854
2016-07-20,5.77
2016-07-21,6.355
2016-07-22,5.352
2016-07-23,7.944
2016-07-24,6.439
2016-07-25,5.686
2016-07-26,5.77
2016-07-27,5.854
2016-07-28,5.603
2016-07-29,5.854
2016-07-30,6.439
2016-07-31,6.523
2016-08-01,5.587
2016-08-02,5.268
2016-08-03,5.587
2016-08-04,5.508
2016-08-05,4.789
2016-08-06,4.869
2016-08-07,5.029
2016-08-08,4.47
2016-08-09,5.188
2016-08-10,4.23
2016-08-11,4.789
2016-08-12,5.268
2016-08-13,5.108
2016-08-14,5.987
2016-08-15,5.508
2016-08-16,5.108
2016-08-17,5.188
2016-08-18,5.348
2016-08-19,5.188
2016-08-20,5.268
2016-08-21,5.108
2016-08-22,4.869
2016-08-23,5.029
2016-08-24,4.63
2016-08-25,4.709
2016-08-26,4.949
2016-08-27,4.63
2016-08-28,5.029
2016-08-29,4.869
2016-08-30,5.348
2016-08-31,5.029
2016-09-01,4.52
2016-09-02,3.955
2016-09-03,4.359
2016-09-04,3.713
2016-09-05,5.569
2016-09-06,4.601
2016-09-07,5.166
2016-09-08,3.874
2016-09-09,4.439
2016-09-10,4.52
2016-09-11,4.439
2016-09-12,3.794
2016-09-13,3.229
2016-09-14,3.229
2016-09-15,3.471
2016-09-16,4.601
2016-09-17,3.874
2016-09-18,3.551
2016-09-19,4.52
2016-09-20,5.65
2016-09-21,4.681
2016-09-22,3.551
2016-09-23,4.036
2016-09-24,5.65
2016-09-25,7.668
2016-09-26,4.439
2016-09-27,3.148
2016-09-28,3.874
2016-09-29,4.843
2016-09-30,4.439
