time,etof
2016-01-01,0.95
2016-01-02,0.95
2016-01-03,0.95
2016-01-04,0.95
2016-01-05,0.95
2016-01-06,0.95
2016-01-07,0.95
2016-01-08,0.95
2016-01-09,0.95
2016-01-10,0.95
2016-01-11,0.95
2016-01-12,0.95
2016-01-13,0.95
2016-01-14,0.95
2016-01-15,0.95
2016-01-16,0.95
2016-01-17,0.95
2016-01-18,0.95
2016-01-19,0.95
2016-01-20,0.95
2016-01-21,0.95
2016-01-22,0.95
2016-01-23,0.95
2016-01-24,0.95
2016-01-25,0.95
2016-01-26,0.95
2016-01-27,0.95
2016-01-28,0.95
2016-01-29,0.95
2016-01-30,0.95
2016-01-31,0.95
2016-02-01,0.95
2016-02-02,0.95
2016-02-03,0.95
2016-02-04,0.95
2016-02-05,0.95
2016-02-06,0.95
2016-02-07,0.961
2016-02-08,0.972
2016-02-09,0.983
2016-02-10,0.994
2016-02-11,1.005
2016-02-12,1.015
2016-02-13,1.026
2016-02-14,1.037
2016-02-15,1.048
2016-02-16,1.059
2016-02-17,1.07
2016-02-18,1.08
2016-02-19,1.091
2016-02-20,1.102
2016-02-21,1.113
2016-02-22,1.124
2016-02-23,1.118
2016-02-24,1.113
2016-02-25,1.107
2016-02-26,1.102
2016-02-27,1.096
2016-02-28,1.091
2016-02-29,1.085
2016-03-01,1.08
2016-03-02,1.075
2016-03-03,1.07
2016-03-04,1.066
2016-03-05,1.061
2016-03-06,1.057
2016-03-07,1.052
2016-03-08,1.047
2016-03-09,1.043
2016-03-10,1.055
2016-03-11,1.068
2016-03-12,1.081
2016-03-13,1.093
2016-03-14,1.106
2016-03-15,1.119
2016-03-16,1.132
2016-03-17,1.144
2016-03-18,1.141
2016-03-19,1.138
2016-03-20,1.135
2016-03-21,1.131
2016-03-22,1.128
2016-03-23,1.125
2016-03-24,1.122
2016-03-25,1.119
2016-03-26,1.118
2016-03-27,1.118
2016-03-28,1.118
2016-03-29,1.118
2016-03-30,1.117
2016-03-31,1.117
2016-04-01,1.117
2016-04-02,1.117
2016-04-03,1.105
2016-04-04,1.094
2016-04-05,1.083
2016-04-06,1.071
2016-04-07,1.06
2016-04-08,1.048
2016-04-09,1.037
2016-04-10,1.026
