time,actual_et,field_id,crop,actual_eto,actual_etof
2016-01-01,0.629,CA_89335,61,1.004,0.627
2016-01-02,0.671,CA_89335,61,1.071,0.627
2016-01-03,0.839,CA_89335,61,1.339,0.627
2016-01-04,0.671,CA_89335,61,1.071,0.627
2016-01-05,0.503,CA_89335,61,0.803,0.627
2016-01-06,0.629,CA_89335,61,1.004,0.627
2016-01-07,0.755,CA_89335,61,1.205,0.627
2016-01-08,0.755,CA_89335,61,1.205,0.627
2016-01-09,0.419,CA_89335,61,0.669,0.627
2016-01-10,0.294,CA_89335,61,0.469,0.627
2016-01-11,0.671,CA_89335,61,1.071,0.627
2016-01-12,0.713,CA_89335,61,1.138,0.627
2016-01-13,0.805,CA_89335,61,1.272,0.633
2016-01-14,1.028,CA_89335,61,1.607,0.64
2016-01-15,0.822,CA_89335,61,1.272,0.646
2016-01-16,0.83,CA_89335,61,1.272,0.653
2016-01-17,0.662,CA_89335,61,1.004,0.66
2016-01-18,0.535,CA_89335,61,0.803,0.666
2016-01-19,0.495,CA_89335,61,0.736,0.673
2016-01-20,0.682,CA_89335,61,1.004,0.679
2016-01-21,0.826,CA_89335,61,1.205,0.686
2016-01-22,0.834,CA_89335,61,1.205,0.692
2016-01-23,0.936,CA_89335,61,1.339,0.699
2016-01-24,1.512,CA_89335,61,2.142,0.706
2016-01-25,1.907,CA_89335,61,2.678,0.712
2016-01-26,1.492,CA_89335,61,2.075,0.719
2016-01-27,1.457,CA_89335,61,2.008,0.725
2016-01-28,1.764,CA_89335,61,2.41,0.732
2016-01-29,1.938,CA_89335,61,2.678,0.724
2016-01-30,0.766,CA_89335,61,1.071,0.715
2016-01-31,1.514,CA_89335,61,2.142,0.707
2016-02-01,3.265,CA_89335,61,4.674,0.699
2016-02-02,2.167,CA_89335,61,3.139,0.69
2016-02-03,1.903,CA_89335,61,2.79,0.682
2016-02-04,2.255,CA_89335,61,3.348,0.674
2016-02-05,1.856,CA_89335,61,2.79,0.665
2016-02-06,2.266,CA_89335,61,3.488,0.65
2016-02-07,1.603,CA_89335,61,2.441,0.657
2016-02-08,1.619,CA_89335,61,2.441,0.663
2016-02-09,1.823,CA_89335,61,2.72,0.67
2016-02-10,1.936,CA_89335,61,2.86,0.677
2016-02-11,1.431,CA_89335,61,2.093,0.684
2016-02-12,1.975,CA_89335,61,2.86,0.691
2016-02-13,2.481,CA_89335,61,3.557,0.697
2016-02-14,2.362,CA_89335,61,4.604,0.513
2016-02-15,1.959,CA_89335,61,3.627,0.54
2016-02-16,1.107,CA_89335,61,1.953,0.567
2016-02-17,1.036,CA_89335,61,1.744,0.594
2016-02-18,1.386,CA_89335,61,2.232,0.621
2016-02-19,1.626,CA_89335,61,2.511,0.648
2016-02-20,2.588,CA_89335,61,3.837,0.675
2016-02-21,2.838,CA_89335,61,4.046,0.701
2016-02-22,2.642,CA_89335,61,3.627,0.728
2016-02-23,1.938,CA_89335,61,2.651,0.731
2016-02-24,1.638,CA_89335,61,2.232,0.734
2016-02-25,1.439,CA_89335,61,1.953,0.737
2016-02-26,1.702,CA_89335,61,2.302,0.739
2016-02-27,1.915,CA_89335,61,2.581,0.742
2016-02-28,2.234,CA_89335,61,2.999,0.745
2016-02-29,2.294,CA_89335,61,3.069,0.747
2016-03-01,2.617,CA_89335,61,3.527,0.742
2016-03-02,1.974,CA_89335,61,2.681,0.736
2016-03-03,1.804,CA_89335,61,2.469,0.731
2016-03-04,1.791,CA_89335,61,2.469,0.725
2016-03-05,1.066,CA_89335,61,1.482,0.72
2016-03-06,1.562,CA_89335,61,2.187,0.714
2016-03-07,1.3,CA_89335,61,1.834,0.709
2016-03-08,2.282,CA_89335,61,3.245,0.703
2016-03-09,2.116,CA_89335,61,3.034,0.698
2016-03-10,1.686,CA_89335,61,2.399,0.703
2016-03-11,1.149,CA_89335,61,1.623,0.708
2016-03-12,1.762,CA_89335,61,2.469,0.714
2016-03-13,1.471,CA_89335,61,2.046,0.719
2016-03-14,2.096,CA_89335,61,2.893,0.724
2016-03-15,3.398,CA_89335,61,4.656,0.73
2016-03-16,3.216,CA_89335,61,4.374,0.735
2016-03-17,2.857,CA_89335,61,3.527,0.81
2016-03-18,2.21,CA_89335,61,2.751,0.803
2016-03-19,2.135,CA_89335,61,2.681,0.796
2016-03-20,2.395,CA_89335,61,3.034,0.789
