field_id,CROP_2023,.geo
CA_42143,69,"{""type"": ""Polygon"", ""coordinates"": [-120.328873149, 37.163459122, -120.328868662, 37.156685806, -120.328605596, 37.156645673, -120.327927781, 37.156672441, -120.3278698, 37.156770491, -120.327856427, 37.163463589, -120.328815169, 37.163477012, -120.328873149, 37.163459122]}"
CA_42021,69,"{""type"": ""Polygon"", ""coordinates"": [-120.641563141, 37.041520564, -120.641545324, 37.041297621, -120.640559868, 37.040673357, -120.639016984, 37.03966563, -120.638544347, 37.039322253, -120.637456352, 37.038283233, -120.637304685, 37.038211962, -120.635837683, 37.038198544, -120.63570392, 37.03825648, -120.635694967, 37.039594236, -120.635717261, 37.039638801, -120.636216679, 37.039656682, -120.636573381, 37.039616572, -120.636720572, 37.039522925, -120.637068407, 37.03954963, -120.637130812, 37.039710165, -120.637050502, 37.039870686, -120.636515452, 37.039928661, -120.636073964, 37.040049106, -120.635726214, 37.040053517, -120.635752896, 37.041426951, -120.635793096, 37.041444788, -120.640591026, 37.041507223, -120.641563141, 37.041520564]}"
CA_41682,69,"{""type"": ""Polygon"", ""coordinates"": [-120.483465721, 37.265585959, -120.483438918, 37.26394948, -120.483434525, 37.262272857, -120.483372044, 37.262192587, -120.481548326, 37.262143505, -120.4812897, 37.262210406, -120.481196022, 37.26235307, -120.481178183, 37.264404324, -120.481329773, 37.264569252, -120.48211461, 37.264587126, -120.482212681, 37.264667387, -120.482212681, 37.265095471, -120.482056611, 37.265251527, -120.482007575, 37.265483371, -120.482136931, 37.265706302, -120.483180297, 37.265728639, -120.483465721, 37.265585959]}"
CA_41458,69,"{""type"": ""Polygon"", ""coordinates"": [-120.994603594, 37.286374266, -120.99455896, 37.286343067, -120.993787498, 37.286334147, -120.993725098, 37.285834716, -120.993662698, 37.285803486, -120.990135519, 37.285785715, -120.990082044, 37.285856996, -120.990095435, 37.287194707, -120.990189081, 37.287341871, -120.99212877, 37.28733743, -120.993809814, 37.287337468, -120.993997101, 37.287061006, -120.994166535, 37.286971817, -120.994460854, 37.28696287, -120.994594667, 37.286788952, -120.994603594, 37.286374266]}"
CA_41244,69,"{""type"": ""Polygon"", ""coordinates"": [-120.999892028, 37.1298643, -120.999735993, 37.129748343, -120.996966873, 37.129748367, -120.996864306, 37.129792909, -120.996761738, 37.132000188, -120.996650244, 37.134011295, -120.996824224, 37.134136059, -120.999544252, 37.134185181, -120.999620038, 37.134024637, -120.999673508, 37.132557622, -120.999780537, 37.132352494, -120.999892028, 37.130015897, -120.999892028, 37.1298643]}"
CA_40009,69,"{""type"": ""Polygon"", ""coordinates"": [-120.862333228, 37.093522625, -120.862203913, 37.093433429, -120.859301038, 37.093388873, -120.859220783, 37.093562716, -120.859211847, 37.09455269, -120.859314443, 37.094628434, -120.860518338, 37.094668591, -120.862172723, 37.094695353, -120.862221786, 37.094619546, -120.862333228, 37.093522625]}"
CA_39770,69,"{""type"": ""Polygon"", ""coordinates"": [-120.737366914, 36.900554991, -120.73733122, 36.896742474, -120.737219752, 36.896662228, -120.730464276, 36.896684475, -120.730392884, 36.896778155, -120.730593553, 36.900586249, -120.73064258, 36.900679859, -120.73467361, 36.90070214, -120.737295613, 36.900720005, -120.737366914, 36.900554991]}"
CA_39032,69,"{""type"": ""Polygon"", ""coordinates"": [-120.32488672, 37.235843705, -120.324819852, 37.235692141, -120.323941411, 37.235683171, -120.323303694, 37.23569216, -120.323254686, 37.23581695, -120.323259173, 37.236222763, -120.32335279, 37.236280697, -120.32403054, 37.236303063, -120.324142017, 37.2362406, -120.324199999, 37.235924007, -120.324739522, 37.235950777, -120.32488672, 37.235843705]}"
CA_39031,69,"{""type"": ""Polygon"", ""coordinates"": [-120.277673725, 37.221052904, -120.277606833, 37.215742107, -120.277490915, 37.215581604, -120.272153406, 37.215724245, -120.271029651, 37.215755493, -120.270989513, 37.215826835, -120.271011871, 37.221093002, -120.271127794, 37.221142093, -120.277352729, 37.221159896, -120.277673725, 37.221052904]}"
CA_38912,69,"{""type"": ""Polygon"", ""coordinates"": [-120.290132448, 37.206757067, -120.290119071, 37.199827593, -120.290083428, 37.199796363, -120.284242037, 37.199716063, -120.284121636, 37.199769624, -120.284126037, 37.202235513, -120.284175148, 37.205682364, -120.284259815, 37.205784918, -120.284487237, 37.205811715, -120.284937592, 37.205758193, -120.285508345, 37.205744841, -120.285793764, 37.205704701, -120.286917481, 37.205419253, -120.287688887, 37.205365798, -120.288009945, 37.2053881, -120.28844251, 37.205597643, -120.289285282, 37.20589196, -120.289441321, 37.206048013, -120.289806995, 37.20673921, -120.289905036, 37.2068507, -120.290132448, 37.206757067]}"
CA_38734,204,"{""type"": ""Polygon"", ""coordinates"": [-120.948639142, 37.337216937, -120.948612352, 37.337038583, -120.948411687, 37.336922622, -120.948193249, 37.336913752, -120.94694469, 37.337025203, -120.946587918, 37.337011851, -120.945392924, 37.336650618, -120.944817704, 37.336632812, -120.944536748, 37.336449989, -120.943328337, 37.336169058, -120.942695147, 37.335825694, -120.942209133, 37.33584798, -120.942182342, 37.335910399, -120.942160103, 37.34024913, -120.942209133, 37.341163236, -120.942262629, 37.341194461, -120.948246743, 37.340984867, -120.948572254, 37.340877886, -120.948639142, 37.337216937]}"
CA_38650,47,"{""type"": ""Polygon"", ""coordinates"": [-120.869552482, 37.300371404, -120.869449982, 37.300335712, -120.859394697, 37.300322313, -120.859082529, 37.30038479, -120.858765979, 37.300389212, -120.857013506, 37.300473941, -120.856179667, 37.300522978, -120.856023623, 37.300625534, -120.856063751, 37.303122673, -120.85630452, 37.303225208, -120.859136061, 37.303216301, -120.868179154, 37.303185095, -120.869414326, 37.303180596, -120.86950351, 37.303091446, -120.869552482, 37.300371404]}"
CA_37890,241,"{""type"": ""Polygon"", ""coordinates"": [-120.366699654, 37.260747826, -120.366458918, 37.260565014, -120.366325136, 37.260368783, -120.366289425, 37.260181538, -120.366088797, 37.259954065, -120.365745413, 37.260007654, -120.365500189, 37.260159217, -120.365125668, 37.260680915, -120.364969543, 37.261135757, -120.364982913, 37.261666427, -120.365076587, 37.261773388, -120.365607233, 37.261465745, -120.366681887, 37.2608593, -120.366699654, 37.260747826]}"
CA_37683,61,"{""type"": ""Polygon"", ""coordinates"": [-120.626683152, 37.303809345, -120.626478015, 37.303550724, -120.626464585, 37.303403602, -120.626629607, 37.303176145, -120.626611788, 37.302498375, -120.62656272, 37.302337867, -120.624021001, 37.302342348, -120.623985363, 37.302382443, -120.623963066, 37.303376848, -120.624003182, 37.303434805, -120.624569534, 37.303470438, -120.624600696, 37.303929745, -120.625470233, 37.303934252, -120.62662513, 37.303916417, -120.626683152, 37.303809345]}"
