forecasting_date,level_1,field_id,crop,mae,rmse,corr,bias,skill_score,c_mae,c_bias,variable
2024-01-01,0,CA_298397,75,0.01,0.01,0.98,0.01,0.99,0.06085185185185186,,ETof
2024-01-01,1,CA_299395,75,0.02,0.03,-0.99,0.02,0.99,0.2881296296296297,,ETof
2024-01-01,2,CA_299467,75,0.13,0.11,0.98,-0.13,-0.06,0.0967037037037037,,ETof
2024-01-01,3,CA_300271,75,0.25,0.15,0.99,-0.25,0.58,0.14474074074074075,,ETof
2024-01-01,4,CA_300581,75,0.03,0.03,0.94,0.03,0.95,0.1013888888888889,,ETof
2024-01-01,5,CA_300893,75,0.06,0.07,-0.96,-0.06,-0.6,0.051148148148148144,,ETof
2024-01-01,6,CA_301734,75,0.02,0.02,0.89,-0.02,0.98,0.14935185185185185,,ETof
2024-01-01,7,CA_301986,75,0.17,0.13,-0.95,-0.17,0.59,0.15177777777777782,,ETof
2024-01-01,8,CA_302388,75,0.3,0.2,0.97,0.01,0.71,0.19455555555555556,,ETof
2024-01-01,9,CA_302578,75,0.08,0.09,0.98,0.06,0.92,0.27477777777777773,,ETof
2024-01-01,10,CA_302669,72,0.34,0.27,0.97,0.34,-1.0,0.10511111111111111,,ETof
2024-01-01,11,CA_303433,72,0.12,0.11,-0.99,0.08,0.81,0.16748148148148148,,ETof
2024-01-01,12,CA_303972,47,0.02,0.01,0.98,-0.02,1.0,0.15375925925925923,,ETof
2024-01-01,13,CA_304258,72,0.18,0.18,0.71,0.18,0.13,0.1681851851851852,,ETof
2024-01-01,14,CA_304688,72,0.04,0.03,-0.99,-0.04,-1.0,0.008759259259259225,,ETof
2024-01-01,15,CA_305684,204,0.07,0.07,0.97,-0.07,-1.0,0.02033333333333333,,ETof
2024-01-01,16,CA_306027,204,0.07,0.06,0.97,-0.07,0.49,0.0728888888888889,,ETof
2024-01-01,17,CA_306521,204,0.05,0.04,-0.94,-0.05,0.94,0.15098148148148144,,ETof
2024-01-01,18,CA_307370,204,0.03,0.03,0.98,0.03,0.98,0.17194444444444443,,ETof
2024-01-01,19,CA_307376,204,0.15,0.13,0.99,0.15,-0.6,0.05642592592592594,,ETof
2024-01-01,20,CA_307472,204,0.18,0.15,0.99,0.18,0.77,0.2504074074074074,,ETof
2024-01-01,21,CA_307774,204,0.07,0.06,,-0.07,0.58,0.07766666666666666,,ETof
2024-01-01,22,CA_32080,75,0.07,0.05,0.95,0.07,0.81,0.08779629629629633,,ETof
2024-01-01,23,CA_32260,61,0.12,0.09,0.98,0.12,0.78,0.1421111111111111,,ETof
2024-01-01,24,CA_32418,47,0.09,0.08,-0.99,-0.09,0.7,0.10824074074074079,,ETof
2024-01-01,25,CA_32637,47,0.01,0.01,0.95,0.01,0.99,0.10987037037037034,,ETof
2024-01-01,26,CA_32667,61,0.01,0.01,-0.98,0.01,0.97,0.07785185185185182,,ETof
2024-01-01,27,CA_35772,36,0.04,0.04,-0.98,-0.04,0.95,0.12637037037037038,,ETof
2024-01-01,28,CA_36095,61,0.06,0.06,0.99,-0.06,0.88,0.15340740740740746,,ETof
2024-01-01,29,CA_36121,47,0.01,0.02,-0.98,-0.01,0.84,0.03801851851851854,,ETof
2024-01-01,30,CA_36281,61,0.02,0.02,-0.95,0.02,0.89,0.044703703703703745,,ETof
2024-01-01,31,CA_36850,61,0.02,0.02,-0.55,0.02,0.96,0.07238888888888885,,ETof
2024-01-01,32,CA_36898,37,0.08,0.07,0.99,0.08,0.35,0.07575925925925925,,ETof
