forecasting_date,match_window,match_variable,level_3,field_id,crop,mae,rmse,corr,bias,skill_score,c_mae,c_bias,variable
2024-05-06,180,None,0,CA_298397,75,0.59,0.38,1.0,0.59,-1.0,0.15777777777777777,,ETof
2024-05-06,180,None,1,CA_299395,75,0.07,0.07,-0.0,-0.07,0.97,0.34429629629629627,,ETof
2024-05-06,180,None,2,CA_299467,75,0.14,0.13,0.72,-0.14,-0.76,0.07646296296296295,,ETof
2024-05-06,180,None,3,CA_300271,75,0.35,0.22,0.51,0.35,-1.0,0.08377777777777777,,ETof
2024-05-06,180,None,4,CA_300581,75,0.42,0.37,0.44,-0.42,-0.55,0.25872222222222224,,ETof
2024-05-06,180,None,5,CA_300893,75,0.1,0.1,-0.05,-0.1,0.69,0.1731666666666666,,ETof
2024-05-06,180,None,6,CA_301734,75,0.03,0.04,-0.53,-0.02,0.56,0.048944444444444436,,ETof
2024-05-06,180,None,7,CA_301986,75,0.17,0.13,0.37,-0.17,-1.0,0.059518518518518554,,ETof
2024-05-06,180,None,8,CA_302388,75,0.16,0.1,0.8,0.16,0.78,0.13570370370370372,,ETof
2024-05-06,180,None,9,CA_302578,75,0.01,0.01,0.52,0.01,-1.0,0.006981481481481477,,ETof
2024-05-06,180,None,10,CA_302669,72,0.35,0.25,-0.67,-0.35,-1.0,0.07292592592592592,,ETof
2024-05-06,180,None,11,CA_303433,72,0.38,0.29,-0.96,0.38,-1.0,0.10525925925925932,,ETof
2024-05-06,180,None,12,CA_303972,47,0.23,0.19,0.99,-0.23,-0.78,0.1183333333333333,,ETof
2024-05-06,180,None,13,CA_304258,72,0.03,0.03,-0.14,0.01,-0.01,0.027555555555555573,,ETof
2024-05-06,180,None,14,CA_304688,72,0.11,0.1,0.02,0.11,-1.0,0.048611111111111105,,ETof
2024-05-06,180,None,15,CA_305684,204,0.06,0.06,0.74,0.06,-0.32,0.048537037037037045,,ETof
2024-05-06,180,None,16,CA_306027,204,0.25,0.21,-0.93,-0.25,0.2,0.2032962962962963,,ETof
2024-05-06,180,None,17,CA_306521,204,0.13,0.12,0.88,-0.13,0.66,0.1836481481481481,,ETof
2024-05-06,180,None,18,CA_307370,204,0.02,0.03,-0.62,-0.02,0.42,0.04088888888888892,,ETof
2024-05-06,180,None,19,CA_307376,204,0.19,0.14,-0.15,0.19,-1.0,0.017055555555555546,,ETof
2024-05-06,180,None,20,CA_307472,204,0.09,0.08,-0.78,-0.03,0.86,0.18364814814814814,,ETof
2024-05-06,180,None,21,CA_307774,204,0.16,0.13,-0.64,0.16,-1.0,0.057148148148148115,,ETof
2024-05-06,180,None,22,CA_32080,75,0.59,0.42,1.0,0.59,0.39,0.37211111111111106,,ETof
2024-05-06,180,None,23,CA_32260,61,0.29,0.21,0.65,0.29,0.22,0.16948148148148148,,ETof
2024-05-06,180,None,24,CA_32418,47,0.27,0.22,-0.55,-0.27,-1.0,0.05459259259259261,,ETof
2024-05-06,180,None,25,CA_32637,47,0.06,0.06,-0.93,-0.06,0.53,0.07570370370370372,,ETof
2024-05-06,180,None,26,CA_32667,61,0.13,0.12,0.05,-0.13,-1.0,0.05916666666666668,,ETof
2024-05-06,180,None,27,CA_35772,36,0.26,0.22,0.74,-0.26,-1.0,0.10894444444444447,,ETof
2024-05-06,180,None,28,CA_36095,61,0.23,0.21,0.86,-0.23,0.76,0.39559259259259255,,ETof
2024-05-06,180,None,29,CA_36121,47,0.06,0.07,-0.77,0.05,0.97,0.39181481481481484,,ETof
2024-05-06,180,None,30,CA_36281,61,0.32,0.26,-0.29,-0.32,0.79,0.46655555555555556,,ETof
2024-05-06,180,None,31,CA_36850,61,0.1,0.09,-0.77,-0.1,0.77,0.15412962962962964,,ETof
2024-05-06,180,None,32,CA_36898,37,0.37,0.31,0.93,-0.37,-1.0,0.12983333333333333,,ETof
2024-05-06,180,None,33,CA_36982,241,0.44,0.41,-0.85,-0.44,-1.0,0.12685185185185183,,ETof
2024-05-06,180,None,34,CA_37400,61,0.39,0.31,0.27,-0.39,0.6,0.3835555555555556,,ETof
2024-05-06,180,None,35,CA_37674,47,0.25,0.22,1.0,-0.25,0.67,0.3070555555555555,,ETof
2024-05-06,180,None,36,CA_37683,61,0.41,0.28,-0.62,-0.41,-0.44,0.1595,,ETof
2024-05-06,180,None,37,CA_37890,241,0.07,0.06,-0.35,-0.07,0.92,0.20811111111111116,,ETof
2024-05-06,180,None,38,CA_38650,47,0.61,0.45,-0.98,0.61,-1.0,0.09035185185185184,,ETof
2024-05-06,180,None,39,CA_38734,204,0.23,0.2,-0.96,-0.23,-1.0,0.07751851851851853,,ETof
2024-05-06,180,None,40,CA_38912,69,0.48,0.42,0.98,-0.48,-1.0,0.06051851851851853,,ETof
2024-05-06,180,None,41,CA_39031,69,0.4,0.31,-0.83,-0.4,-1.0,0.045703703703703726,,ETof
2024-05-06,180,None,42,CA_39032,69,0.11,0.09,0.67,-0.11,-1.0,0.0410555555555556,,ETof
2024-05-06,180,None,43,CA_39770,69,0.09,0.08,0.91,-0.09,-0.18,0.06201851851851853,,ETof
2024-05-06,180,None,44,CA_40009,69,0.45,0.41,-0.18,-0.45,0.18,0.40757407407407403,,ETof
2024-05-06,180,None,45,CA_41244,69,0.26,0.23,-1.0,0.26,-1.0,0.08927777777777779,,ETof
2024-05-06,180,None,46,CA_41458,69,0.12,0.12,0.02,-0.01,-1.0,0.015314814814814837,,ETof
2024-05-06,180,None,47,CA_41682,69,0.19,0.14,0.94,-0.19,-1.0,0.05522222222222222,,ETof
2024-05-06,180,None,48,CA_42021,69,0.49,0.4,0.95,0.49,-1.0,0.017018518518518506,,ETof
2024-05-06,180,None,49,CA_42143,69,0.14,0.12,0.92,0.14,0.79,0.2062407407407408,,ETof
2024-05-06,180,None,50,CA_298397,75,0.26,0.62,0.82,-0.26,-1.0,0.5944629629629632,,ETo
2024-05-06,180,None,51,CA_299395,75,0.25,0.57,0.88,-0.25,-1.0,0.4572962962962963,,ETo
2024-05-06,180,None,52,CA_299467,75,0.24,0.58,0.88,-0.24,-1.0,0.48540740740740757,,ETo
2024-05-06,180,None,53,CA_300271,75,0.25,0.59,0.89,-0.25,-1.0,0.3314074074074072,,ETo
2024-05-06,180,None,54,CA_300581,75,0.28,0.64,0.91,-0.28,-1.0,0.39005555555555543,,ETo
