forecasting_date,level_1,field_id,crop,mae,rmse,corr,bias,skill_score,variable
2024-09-12,0,CA_244000,47,0.64,0.44,0.67,0.64,-0.17,ETof
2024-09-12,1,CA_244018,47,0.54,0.52,0.53,-0.54,-1.0,ETof
2024-09-12,2,CA_244025,47,0.46,0.49,-0.83,-0.46,-1.0,ETof
2024-09-12,3,CA_244035,69,0.7,0.45,0.15,-0.69,-0.28,ETof
2024-09-12,4,CA_244053,47,0.34,0.35,0.7,-0.34,0.3,ETof
2024-09-12,5,CA_244054,69,0.49,0.41,-0.68,-0.49,-0.54,ETof
2024-09-12,6,CA_244073,47,0.29,0.32,-0.68,-0.29,0.53,ETof
2024-09-12,7,CA_244077,47,0.16,0.18,0.66,-0.14,0.8,ETof
2024-09-12,8,CA_244102,47,0.11,0.15,0.51,0.11,0.49,ETof
2024-09-12,9,CA_244108,47,0.12,0.1,-0.65,0.12,-1.0,ETof
2024-09-12,10,CA_244113,47,0.31,0.28,-0.56,-0.31,-1.0,ETof
2024-09-12,11,CA_244144,61,0.35,0.32,0.7,-0.33,0.42,ETof
2024-09-12,12,CA_244148,69,0.52,0.41,0.66,-0.52,-0.04,ETof
2024-09-12,13,CA_244152,47,0.28,0.28,-0.73,-0.28,-0.69,ETof
2024-09-12,14,CA_244172,69,0.17,0.14,0.42,0.17,0.63,ETof
2024-09-12,15,CA_244189,69,0.39,0.34,-0.47,-0.33,-0.5,ETof
2024-09-12,16,CA_244207,47,0.58,0.48,0.65,0.58,-1.0,ETof
2024-09-12,17,CA_244212,47,0.32,0.34,0.81,-0.32,0.24,ETof
2024-09-12,18,CA_244216,47,0.33,0.28,-0.73,-0.21,-1.0,ETof
2024-09-12,19,CA_244229,47,0.29,0.35,0.76,-0.29,0.61,ETof
2024-09-12,20,CA_244317,47,0.09,0.1,0.8,-0.05,0.55,ETof
2024-09-12,21,CA_244323,47,0.36,0.24,0.19,-0.26,-0.91,ETof
2024-09-12,22,CA_244332,47,0.27,0.2,-0.26,-0.08,0.01,ETof
2024-09-12,23,CA_244362,47,0.21,0.24,0.75,-0.21,0.74,ETof
2024-09-12,24,CA_244363,47,0.45,0.46,-0.89,-0.45,0.11,ETof
2024-09-12,25,CA_244380,47,4.38,1.22,,4.38,-1.0,ETof
2024-09-12,26,CA_244387,61,0.61,0.52,0.41,-0.61,-0.19,ETof
2024-09-12,27,CA_244402,47,0.12,0.13,-0.62,-0.1,0.66,ETof
2024-09-12,28,CA_244426,47,0.09,0.1,-0.56,-0.07,0.96,ETof
2024-09-12,29,CA_244427,47,3.51,1.06,0.0,3.51,-1.0,ETof
2024-09-12,30,CA_244429,47,0.27,0.31,-0.36,-0.27,0.43,ETof
2024-09-12,31,CA_244437,47,0.5,0.33,-0.84,-0.42,-1.0,ETof
