field_id,crop,mae,rmse,corr,bias,skill_score,variable
CA_244000,47,0.28,0.34,-0.36,-0.01,-2.12,ETof
CA_244018,47,0.31,0.36,-0.06,-0.15,-0.62,ETof
CA_244025,47,0.19,0.22,0.6,0.07,-0.07,ETof
CA_244035,69,0.14,0.18,0.6,0.11,0.24,ETof
CA_244053,47,0.17,0.2,-0.03,-0.02,-1.8,ETof
CA_244054,69,0.14,0.19,0.47,0.09,0.27,ETof
CA_244073,47,0.21,0.26,0.28,0.07,0.22,ETof
CA_244077,47,0.18,0.22,0.2,-0.05,0.09,ETof
CA_244102,47,0.19,0.24,0.18,0.0,-0.46,ETof
CA_244108,47,0.16,0.2,0.37,0.08,0.23,ETof
CA_244113,47,0.17,0.23,0.51,0.09,0.41,ETof
CA_244144,61,0.18,0.24,-0.08,0.02,-1.55,ETof
CA_244148,69,0.14,0.19,-0.02,0.08,-0.31,ETof
CA_244152,47,0.15,0.21,0.31,0.07,0.16,ETof
CA_244172,69,0.11,0.14,0.58,0.08,-0.11,ETof
CA_244189,69,0.1,0.14,0.33,0.03,0.2,ETof
CA_244207,47,0.19,0.24,-0.03,0.02,-0.11,ETof
CA_244212,47,0.34,0.39,-0.3,-0.11,-0.88,ETof
CA_244216,47,0.24,0.28,-0.13,-0.04,-0.01,ETof
CA_244229,47,0.32,0.38,-0.14,0.22,-2.68,ETof
CA_244317,47,0.24,0.28,0.44,0.16,0.31,ETof
CA_244323,47,0.2,0.26,-0.05,0.13,-0.68,ETof
CA_244332,47,0.13,0.16,0.57,-0.03,0.6,ETof
CA_244362,47,0.23,0.28,0.18,0.09,-0.23,ETof
CA_244363,47,0.11,0.15,0.79,-0.04,0.48,ETof
CA_244380,47,0.11,0.14,0.51,0.0,0.66,ETof
CA_244387,61,0.19,0.24,0.08,-0.07,-1.38,ETof
CA_244402,47,0.2,0.23,0.36,-0.06,0.42,ETof
CA_244426,47,0.24,0.3,0.09,-0.1,-0.25,ETof
CA_244427,47,0.12,0.15,0.3,-0.07,0.49,ETof
CA_244429,47,0.22,0.27,0.55,0.17,0.22,ETof
CA_244437,47,0.12,0.16,-0.04,-0.02,-0.48,ETof
CA_244473,47,0.11,0.13,0.47,0.0,0.44,ETof
CA_244478,47,0.11,0.14,0.75,-0.08,0.7,ETof
CA_244479,47,0.14,0.18,0.46,0.03,0.43,ETof
CA_244491,47,0.14,0.2,0.56,0.02,0.63,ETof
CA_244504,47,0.27,0.33,0.01,0.08,-0.08,ETof
CA_244553,47,0.15,0.19,0.25,-0.03,0.37,ETof
CA_244574,47,0.17,0.2,0.59,-0.06,0.57,ETof
CA_244617,72,0.21,0.25,0.13,0.1,-3.37,ETof
CA_244653,47,0.26,0.33,0.69,0.21,0.25,ETof
CA_244673,47,0.24,0.29,-0.14,0.12,-0.51,ETof
CA_244686,47,0.17,0.22,0.46,0.01,-0.53,ETof
CA_244748,47,0.34,0.4,-0.56,0.07,-1.76,ETof
CA_244751,47,0.21,0.27,-0.17,0.03,-3.77,ETof
CA_244758,47,0.2,0.27,0.1,-0.08,-0.91,ETof
CA_244760,47,0.22,0.26,0.21,0.1,0.02,ETof
CA_244773,47,0.13,0.16,0.27,-0.07,-0.45,ETof
CA_244845,47,0.25,0.3,0.5,0.12,0.41,ETof
CA_244849,47,0.18,0.22,0.29,0.02,0.25,ETof
CA_244870,47,0.12,0.16,0.43,0.04,0.48,ETof
CA_244884,47,0.19,0.26,0.2,-0.13,-1.06,ETof
CA_244903,61,0.3,0.35,0.2,0.22,-0.27,ETof
CA_244909,47,0.26,0.3,0.12,0.11,-0.38,ETof
CA_244928,47,0.25,0.3,0.28,0.15,0.18,ETof
CA_244948,47,0.19,0.23,0.73,0.17,0.57,ETof
CA_244963,47,0.32,0.37,-0.05,0.23,-0.19,ETof
CA_244988,47,0.43,0.54,-0.57,0.17,-1.37,ETof
CA_245022,69,0.26,0.31,0.23,0.17,-0.3,ETof
CA_245023,47,0.18,0.23,0.34,-0.07,0.34,ETof
CA_245053,47,0.37,0.43,-0.47,0.23,-1.83,ETof
CA_245078,47,0.27,0.32,-0.22,0.02,-1.41,ETof
CA_245112,47,0.27,0.32,-0.34,0.11,-0.73,ETof
CA_245140,61,0.14,0.18,0.13,0.09,-0.13,ETof
CA_245184,47,0.27,0.34,0.24,0.08,-0.51,ETof
CA_245193,47,0.25,0.3,0.64,0.2,0.43,ETof
CA_245281,47,0.19,0.24,0.44,0.03,0.04,ETof
CA_245291,47,0.15,0.18,0.32,-0.01,0.54,ETof
CA_245292,47,0.25,0.32,0.05,-0.0,-0.03,ETof
CA_245296,47,0.13,0.15,0.01,-0.07,-0.04,ETof
CA_245297,47,0.2,0.27,-0.01,0.04,-0.15,ETof
CA_245314,47,0.27,0.33,0.22,0.17,0.2,ETof
CA_245345,47,0.19,0.24,0.44,0.06,-0.38,ETof
CA_245432,47,0.17,0.21,0.23,0.07,-0.03,ETof
CA_245450,47,0.24,0.3,-0.31,0.03,-1.22,ETof
CA_245467,47,0.25,0.34,0.0,0.15,-0.23,ETof
CA_245511,69,0.12,0.16,0.16,-0.01,0.08,ETof
CA_245526,47,0.21,0.25,0.36,0.01,0.2,ETof
CA_245529,47,0.16,0.2,0.52,-0.05,0.28,ETof
CA_245543,61,0.42,0.5,-0.26,0.4,-1.81,ETof
CA_245547,47,0.23,0.27,-0.17,0.05,-0.71,ETof
CA_245553,47,0.18,0.23,0.46,0.07,-0.33,ETof
CA_245558,47,0.2,0.24,0.22,0.06,0.0,ETof
CA_245568,47,0.18,0.21,0.61,0.06,0.63,ETof
CA_245588,47,0.23,0.3,0.57,0.21,0.2,ETof
CA_245621,47,0.22,0.27,-0.11,-0.03,-0.95,ETof
CA_245661,47,0.19,0.23,0.18,0.01,0.27,ETof
CA_245680,47,0.29,0.34,0.22,0.11,-0.3,ETof
CA_245684,47,0.32,0.39,-0.23,-0.09,-0.18,ETof
CA_245691,47,0.23,0.27,0.33,-0.1,-0.53,ETof
CA_245696,47,0.21,0.26,0.01,0.14,-0.72,ETof
CA_245708,47,0.22,0.28,0.25,-0.01,-0.27,ETof
CA_245730,47,0.3,0.36,0.03,0.07,-0.49,ETof
CA_245736,47,0.23,0.3,0.19,0.18,-0.55,ETof
CA_245782,47,0.39,0.44,-0.58,0.25,-1.32,ETof
CA_245801,47,0.18,0.22,0.75,-0.12,0.41,ETof
CA_245818,47,0.23,0.3,0.05,0.1,-0.22,ETof
CA_245835,47,0.28,0.36,-0.3,0.2,-0.92,ETof
CA_245848,47,0.14,0.19,0.46,-0.04,0.45,ETof
CA_245850,47,0.29,0.34,-0.36,-0.11,-1.5,ETof
CA_245882,47,0.2,0.25,-0.17,-0.06,-0.82,ETof
CA_245905,47,0.26,0.3,-0.3,-0.13,-2.03,ETof
CA_245928,47,0.44,0.48,-0.62,-0.18,-0.16,ETof
CA_245955,69,0.18,0.22,-0.22,-0.04,-0.52,ETof
CA_245992,69,0.12,0.15,0.25,0.06,-0.28,ETof
CA_246012,37,0.14,0.2,0.4,-0.09,-0.11,ETof
CA_246046,47,0.12,0.15,0.75,-0.06,0.71,ETof
CA_246072,61,0.24,0.29,0.37,0.18,0.41,ETof
CA_246087,47,0.28,0.33,0.04,-0.1,-0.48,ETof
CA_246089,61,0.25,0.29,0.62,0.16,0.49,ETof
CA_246123,69,0.15,0.19,-0.05,0.1,-0.6,ETof
CA_246227,47,0.23,0.29,0.35,0.05,-0.37,ETof
CA_246235,61,0.21,0.23,-0.57,0.06,-1.66,ETof
CA_246318,47,0.18,0.23,0.34,-0.09,-0.09,ETof
CA_246321,69,0.1,0.13,-0.41,-0.01,-0.82,ETof
CA_246341,47,0.25,0.27,-0.22,0.07,0.12,ETof
CA_246364,69,0.15,0.2,0.51,0.12,-0.06,ETof
CA_246370,61,0.25,0.32,0.49,-0.17,0.54,ETof
CA_246427,69,0.12,0.14,0.31,-0.01,0.52,ETof
CA_246436,47,0.22,0.27,-0.04,-0.18,-0.69,ETof
CA_246448,61,0.22,0.28,0.7,0.18,0.58,ETof
CA_246458,69,0.13,0.16,0.61,0.09,0.41,ETof
CA_246473,69,0.11,0.14,0.39,0.03,0.39,ETof
CA_246532,47,0.28,0.35,-0.22,-0.25,-1.02,ETof
CA_246533,69,0.13,0.14,0.8,0.12,0.44,ETof
CA_246558,69,0.08,0.09,0.63,0.04,0.43,ETof
CA_246568,69,0.1,0.14,0.8,-0.07,0.81,ETof
CA_246587,47,0.18,0.22,-0.31,-0.11,-0.62,ETof
CA_246593,61,0.26,0.31,0.67,0.26,0.35,ETof
CA_246614,47,0.18,0.24,0.27,-0.01,0.48,ETof
CA_246665,47,0.27,0.34,-0.28,0.13,-2.08,ETof
CA_246673,69,0.09,0.1,0.46,0.08,-0.53,ETof
CA_246679,69,0.15,0.2,0.61,0.1,0.03,ETof
CA_246729,61,0.14,0.17,0.79,0.03,0.75,ETof
CA_246755,69,0.11,0.15,-0.31,0.07,-0.56,ETof
CA_246756,69,0.07,0.09,0.52,0.02,0.14,ETof
CA_246757,69,0.14,0.17,0.31,-0.04,0.43,ETof
CA_246801,47,0.15,0.19,0.67,-0.04,0.59,ETof
CA_246807,61,0.17,0.23,0.79,0.16,0.53,ETof
CA_246812,69,0.15,0.19,0.47,0.14,-0.3,ETof
CA_246835,69,0.1,0.12,0.75,0.06,0.74,ETof
CA_246861,47,0.16,0.21,0.5,-0.12,-1.94,ETof
CA_246869,69,0.09,0.12,0.17,0.04,0.31,ETof
CA_246876,69,0.2,0.26,0.09,0.16,-8.65,ETof
CA_246910,69,0.15,0.19,0.02,0.1,-0.29,ETof
CA_246928,47,0.16,0.21,0.6,0.14,0.4,ETof
CA_246965,47,0.23,0.27,0.04,-0.1,-1.1,ETof
CA_246967,61,0.12,0.16,0.8,-0.07,0.81,ETof
CA_246992,47,0.12,0.16,0.06,-0.02,-0.38,ETof
CA_247003,69,0.1,0.13,0.85,0.06,0.73,ETof
CA_247012,47,0.3,0.38,-0.84,-0.05,-4.13,ETof
CA_247066,47,0.2,0.26,0.5,0.09,-0.07,ETof
CA_247155,47,0.15,0.17,0.67,0.02,0.19,ETof
CA_247159,47,0.26,0.32,0.07,0.0,0.26,ETof
CA_247174,69,0.17,0.19,0.71,0.02,0.58,ETof
CA_247196,69,0.16,0.22,0.35,0.12,0.18,ETof
