forecasting_date,match_window,match_variable,level_3,field_id,crop,mae,rmse,corr,bias,skill_score,c_mae,c_bias,variable
2024-05-06,180,None,0,CA_244113,47,0.05,0.04,0.53,-0.03,-0.76,0.01707407407407407,,ETof
2024-05-06,180,None,1,CA_244387,61,0.64,0.54,0.6,-0.64,-1.0,0.17681481481481484,,ETof
2024-05-06,180,None,2,CA_244479,47,0.35,0.37,-0.99,0.35,-1.0,0.17666666666666667,,ETof
2024-05-06,180,None,3,CA_245292,47,0.14,0.13,-0.84,-0.14,0.32,0.13072222222222227,,ETof
2024-05-06,180,None,4,CA_246341,47,0.75,0.46,0.03,0.75,-1.0,0.11827777777777777,,ETof
2024-05-06,180,None,5,CA_246587,47,0.51,0.38,0.63,-0.51,-1.0,0.08820370370370369,,ETof
2024-05-06,180,None,6,CA_246614,47,0.03,0.03,-0.96,0.0,0.14,0.021351851851851844,,ETof
2024-05-06,180,None,7,CA_246801,47,0.23,0.19,-0.9,-0.23,0.11,0.1358148148148148,,ETof
2024-05-06,180,None,8,CA_246992,47,0.18,0.15,-0.78,-0.18,-1.0,0.01524074074074074,,ETof
2024-05-06,180,None,9,CA_247537,47,0.1,0.08,0.71,0.1,-1.0,0.03314814814814814,,ETof
2024-05-06,180,None,10,CA_247548,61,0.45,0.27,0.52,0.45,-0.59,0.12690740740740739,,ETof
2024-05-06,180,None,11,CA_247823,69,0.56,0.3,0.35,0.56,0.86,0.4357037037037037,,ETof
2024-05-06,180,None,12,CA_247968,61,0.67,0.55,0.92,-0.67,-0.94,0.3238148148148148,,ETof
2024-05-06,180,None,13,CA_248688,61,1.98,1.27,-0.66,1.98,-1.0,0.024907407407407416,,ETof
2024-05-06,180,None,14,CA_248689,47,1.11,0.86,-0.87,1.11,-1.0,0.07485185185185188,,ETof
2024-05-06,180,None,15,CA_248737,47,0.7,0.63,-0.39,0.7,-0.46,0.4596481481481481,,ETof
2024-05-06,180,None,16,CA_249254,47,1.82,1.08,0.94,1.82,-1.0,0.016666666666666673,,ETof
2024-05-06,180,None,17,CA_249462,69,0.47,0.41,0.66,0.47,0.51,0.5111851851851852,,ETof
2024-05-06,180,None,18,CA_249468,69,0.19,0.09,0.98,0.19,0.35,0.056388888888888884,,ETof
2024-05-06,180,None,19,CA_249601,69,1.45,1.05,0.95,1.45,-0.99,0.5307222222222222,,ETof
2024-05-06,180,None,20,CA_249694,69,0.07,0.07,-0.62,-0.07,0.97,0.41705555555555557,,ETof
2024-05-06,180,None,21,CA_249783,69,0.74,0.53,0.99,-0.74,-0.27,0.33281481481481484,,ETof
2024-05-06,180,None,22,CA_249856,69,0.21,0.17,-0.49,-0.21,0.81,0.31444444444444447,,ETof
2024-05-06,180,None,23,CA_249946,61,0.36,0.27,-0.87,-0.36,-1.0,0.11525925925925917,,ETof
2024-05-06,180,None,24,CA_250212,69,0.06,0.07,-0.7,0.04,0.79,0.12705555555555556,,ETof
2024-05-06,180,None,25,CA_250290,69,0.52,0.42,-0.87,-0.52,-1.0,0.08535185185185189,,ETof
2024-05-06,180,None,26,CA_250502,47,0.48,0.45,0.99,0.48,-1.0,0.07640740740740744,,ETof
2024-05-06,180,None,27,CA_251400,47,0.57,0.33,0.93,0.57,-0.56,0.14587037037037037,,ETof
2024-05-06,180,None,28,CA_252567,47,0.18,0.12,0.97,0.18,0.82,0.1904074074074074,,ETof
2024-05-06,180,None,29,CA_252577,47,0.13,0.13,-0.96,-0.13,0.91,0.3984814814814815,,ETof
2024-05-06,180,None,30,CA_252621,47,0.22,0.19,0.82,-0.22,-1.0,0.09861111111111114,,ETof
