,forecasting_date,crop,field_id,mae,rmse,corr,bias,skill_score,variable
0,2024-01-01,37,CA_246012,0.41,0.37,-0.23,0.23,-1.0,ETof
1,2024-01-01,37,CA_248155,0.64,0.56,-0.46,-0.28,-1.0,ETof
2,2024-01-01,37,CA_248877,0.3,0.28,0.23,0.12,-0.89,ETof
3,2024-01-01,37,CA_256027,0.35,0.41,0.06,-0.35,-1.0,ETof
4,2024-01-01,37,CA_246012,0.19,0.45,0.85,0.03,-0.57,ETo
5,2024-01-01,37,CA_248155,0.21,0.55,0.9,0.08,-0.73,ETo
6,2024-01-01,37,CA_248877,0.19,0.44,0.86,-0.05,-0.38,ETo
7,2024-01-01,37,CA_256027,0.24,0.5,0.81,0.17,-1.0,ETo
8,2024-01-01,37,CA_246012,0.45,0.81,0.61,0.35,-0.33,ET
9,2024-01-01,37,CA_248155,0.66,1.32,0.21,0.46,-1.0,ET
10,2024-01-01,37,CA_248877,0.25,0.42,0.57,0.02,0.45,ET
11,2024-01-01,37,CA_256027,0.33,0.73,0.74,-0.29,-1.0,ET
12,2024-01-01,47,CA_244000,0.3,0.33,0.07,-0.09,-1.0,ETof
13,2024-01-01,47,CA_244018,0.61,0.49,-0.07,0.28,-0.94,ETof
14,2024-01-01,47,CA_244025,0.45,0.46,-0.34,0.05,-1.0,ETof
15,2024-01-01,47,CA_244053,0.34,0.27,-0.11,-0.02,-0.99,ETof
16,2024-01-01,47,CA_244073,0.32,0.32,0.34,0.2,-1.0,ETof
17,2024-01-01,47,CA_244077,0.33,0.31,0.22,0.05,-0.17,ETof
18,2024-01-01,47,CA_244102,0.33,0.31,0.14,-0.02,-1.0,ETof
19,2024-01-01,47,CA_244108,0.29,0.26,0.36,0.13,-0.32,ETof
20,2024-01-01,47,CA_244113,0.4,0.37,0.03,0.21,-1.0,ETof
21,2024-01-01,47,CA_244152,0.23,0.27,-0.18,-0.05,-0.51,ETof
22,2024-01-01,47,CA_244207,0.34,0.33,0.08,-0.02,-1.0,ETof
23,2024-01-01,47,CA_244212,0.25,0.26,0.6,0.04,0.08,ETof
24,2024-01-01,47,CA_244216,0.39,0.36,0.18,0.18,-0.95,ETof
25,2024-01-01,47,CA_244229,0.26,0.27,0.17,-0.08,-0.7,ETof
26,2024-01-01,47,CA_244317,0.22,0.24,0.65,0.04,0.02,ETof
27,2024-01-01,47,CA_244323,0.4,0.35,-0.5,-0.21,-1.0,ETof
28,2024-01-01,47,CA_244332,0.28,0.22,0.64,-0.15,-0.71,ETof
29,2024-01-01,47,CA_244362,0.29,0.31,-0.17,-0.0,-1.0,ETof
30,2024-01-01,47,CA_244363,0.19,0.22,0.56,-0.01,-0.54,ETof
31,2024-01-01,47,CA_244380,0.36,0.24,0.54,-0.01,-1.0,ETof
32,2024-01-01,47,CA_244402,0.32,0.29,0.41,0.08,-1.0,ETof
33,2024-01-01,47,CA_244426,0.39,0.38,0.23,0.24,-0.58,ETof
34,2024-01-01,47,CA_244427,0.42,0.26,0.7,0.37,-0.55,ETof
35,2024-01-01,47,CA_244429,0.3,0.31,0.2,0.02,-1.0,ETof
36,2024-01-01,47,CA_244437,0.43,0.31,-0.16,0.31,-1.0,ETof
37,2024-01-01,47,CA_244473,0.24,0.19,0.48,0.0,-0.32,ETof
38,2024-01-01,47,CA_244478,0.42,0.32,0.65,0.39,-1.0,ETof
39,2024-01-01,47,CA_244479,0.39,0.37,0.19,0.26,-1.0,ETof
40,2024-01-01,47,CA_244491,0.3,0.32,0.57,-0.17,-0.71,ETof
41,2024-01-01,47,CA_244504,0.33,0.33,0.27,0.01,-0.52,ETof
42,2024-01-01,47,CA_244553,0.34,0.32,0.19,0.07,-0.98,ETof
43,2024-01-01,47,CA_244574,0.24,0.25,0.49,0.04,-0.78,ETof
44,2024-01-01,47,CA_244653,0.64,0.54,-0.03,-0.04,-1.0,ETof
45,2024-01-01,47,CA_244673,0.27,0.3,0.17,-0.01,-0.96,ETof
46,2024-01-01,47,CA_244686,0.33,0.34,-0.17,0.03,-1.0,ETof
47,2024-01-01,47,CA_244748,0.31,0.32,0.65,-0.03,0.22,ETof
48,2024-01-01,47,CA_244751,0.4,0.36,-0.26,-0.14,-1.0,ETof
49,2024-01-01,47,CA_244758,0.32,0.3,0.07,-0.12,-0.32,ETof
50,2024-01-01,47,CA_244760,0.28,0.26,0.35,0.04,-0.02,ETof
51,2024-01-01,47,CA_244773,0.36,0.28,0.26,0.22,-1.0,ETof
52,2024-01-01,47,CA_244845,0.44,0.42,0.13,-0.03,-1.0,ETof
53,2024-01-01,47,CA_244849,0.51,0.45,-0.53,0.25,-1.0,ETof
54,2024-01-01,47,CA_244870,0.25,0.23,0.13,-0.08,-1.0,ETof
55,2024-01-01,47,CA_244884,0.21,0.22,0.59,0.08,-0.34,ETof
56,2024-01-01,47,CA_244909,0.32,0.33,0.55,-0.27,-0.63,ETof
57,2024-01-01,47,CA_244928,0.32,0.34,-0.22,0.04,-0.88,ETof
58,2024-01-01,47,CA_244948,0.35,0.4,0.0,-0.21,-1.0,ETof
59,2024-01-01,47,CA_244963,0.37,0.38,0.22,-0.26,-0.54,ETof
60,2024-01-01,47,CA_244988,0.63,0.65,-0.6,-0.19,-1.0,ETof
61,2024-01-01,47,CA_245023,0.43,0.37,0.24,0.25,-0.2,ETof
62,2024-01-01,47,CA_245053,0.54,0.53,-0.47,-0.11,-1.0,ETof
63,2024-01-01,47,CA_245078,0.29,0.3,0.24,0.03,-1.0,ETof
64,2024-01-01,47,CA_245112,0.29,0.3,0.11,0.1,-0.36,ETof
65,2024-01-01,47,CA_245184,0.39,0.44,-0.28,-0.16,-1.0,ETof
66,2024-01-01,47,CA_245193,0.28,0.28,0.68,-0.19,-0.82,ETof
67,2024-01-01,47,CA_245281,0.47,0.41,-0.17,0.11,-1.0,ETof
68,2024-01-01,47,CA_245291,0.6,0.47,0.29,0.21,-1.0,ETof
69,2024-01-01,47,CA_245292,0.35,0.35,0.18,0.07,-0.86,ETof
70,2024-01-01,47,CA_245296,0.45,0.29,0.5,0.36,-0.68,ETof
71,2024-01-01,47,CA_245297,0.4,0.42,0.24,-0.39,-1.0,ETof
72,2024-01-01,47,CA_245314,0.41,0.37,0.38,-0.07,-0.09,ETof
73,2024-01-01,47,CA_245345,0.36,0.36,0.11,0.08,-1.0,ETof
74,2024-01-01,47,CA_245432,0.29,0.28,0.55,-0.1,-1.0,ETof
75,2024-01-01,47,CA_245450,0.36,0.31,0.32,0.21,-0.35,ETof
76,2024-01-01,47,CA_245467,0.46,0.5,-0.43,-0.13,-1.0,ETof
77,2024-01-01,47,CA_245526,0.3,0.28,0.66,0.19,-0.61,ETof
78,2024-01-01,47,CA_245529,0.18,0.19,0.73,0.07,-0.35,ETof
79,2024-01-01,47,CA_245547,0.4,0.36,-0.1,-0.04,-0.41,ETof
80,2024-01-01,47,CA_245553,0.33,0.35,-0.2,-0.17,-1.0,ETof
81,2024-01-01,47,CA_245558,0.41,0.38,-0.26,-0.09,-1.0,ETof
82,2024-01-01,47,CA_245568,0.28,0.28,0.35,0.01,-1.0,ETof
83,2024-01-01,47,CA_245588,0.29,0.32,-0.13,-0.13,-0.83,ETof
84,2024-01-01,47,CA_245621,0.4,0.35,0.37,0.26,-0.65,ETof
85,2024-01-01,47,CA_245661,0.39,0.38,0.14,-0.05,-1.0,ETof
86,2024-01-01,47,CA_245680,0.48,0.46,-0.39,0.04,-1.0,ETof
87,2024-01-01,47,CA_245684,0.58,0.51,-0.19,0.43,-0.7,ETof
88,2024-01-01,47,CA_245691,0.42,0.4,0.21,0.28,-0.92,ETof
89,2024-01-01,47,CA_245696,0.32,0.32,0.3,0.01,-0.82,ETof
90,2024-01-01,47,CA_245708,0.3,0.3,0.67,-0.19,0.09,ETof
91,2024-01-01,47,CA_245730,0.67,0.64,-0.62,0.16,-1.0,ETof
92,2024-01-01,47,CA_245736,0.29,0.29,-0.26,0.02,-0.35,ETof
93,2024-01-01,47,CA_245782,0.27,0.27,0.48,-0.2,0.15,ETof
94,2024-01-01,47,CA_245801,0.51,0.37,0.77,0.51,-0.2,ETof
95,2024-01-01,47,CA_245818,0.31,0.3,0.33,0.1,-0.7,ETof
96,2024-01-01,47,CA_245835,0.31,0.29,0.52,-0.16,-0.77,ETof
97,2024-01-01,47,CA_245848,0.21,0.21,0.28,0.08,-1.0,ETof
98,2024-01-01,47,CA_245850,0.46,0.45,-0.51,0.13,-1.0,ETof
99,2024-01-01,47,CA_245882,0.19,0.19,0.35,0.01,0.09,ETof
100,2024-01-01,47,CA_245905,0.4,0.37,-0.31,-0.08,-1.0,ETof
101,2024-01-01,47,CA_245928,0.63,0.54,-0.12,0.11,-1.0,ETof
102,2024-01-01,47,CA_246046,0.34,0.32,0.39,0.03,-1.0,ETof
103,2024-01-01,47,CA_246087,0.75,0.57,-0.08,0.43,-1.0,ETof
104,2024-01-01,47,CA_246227,0.34,0.32,0.58,-0.02,-1.0,ETof
105,2024-01-01,47,CA_246318,0.33,0.33,-0.03,0.02,-1.0,ETof
106,2024-01-01,47,CA_246341,0.19,0.19,0.73,0.01,0.63,ETof
107,2024-01-01,47,CA_246436,0.65,0.47,-0.03,0.39,-1.0,ETof
108,2024-01-01,47,CA_246532,0.58,0.45,0.09,0.49,-0.31,ETof
109,2024-01-01,47,CA_246587,0.28,0.25,0.13,0.18,-0.38,ETof
110,2024-01-01,47,CA_246614,0.65,0.58,-0.08,0.27,-1.0,ETof
111,2024-01-01,47,CA_246665,0.41,0.41,-0.26,-0.18,-1.0,ETof
112,2024-01-01,47,CA_246801,0.49,0.41,0.05,0.24,-1.0,ETof
113,2024-01-01,47,CA_246861,0.34,0.28,-0.07,-0.2,-1.0,ETof
114,2024-01-01,47,CA_246928,0.34,0.32,0.04,-0.05,-1.0,ETof
115,2024-01-01,47,CA_246965,0.31,0.29,0.62,0.21,-1.0,ETof
116,2024-01-01,47,CA_246992,0.32,0.33,-0.35,-0.26,-1.0,ETof
117,2024-01-01,47,CA_247012,0.16,0.17,0.81,0.07,0.44,ETof
118,2024-01-01,47,CA_247066,0.42,0.38,0.37,0.18,-1.0,ETof
119,2024-01-01,47,CA_247155,0.22,0.23,0.63,0.08,-1.0,ETof
120,2024-01-01,47,CA_247159,0.68,0.57,0.33,0.12,-0.78,ETof
121,2024-01-01,47,CA_247211,0.68,0.57,-0.11,0.37,-1.0,ETof
122,2024-01-01,47,CA_247235,0.24,0.25,0.66,-0.22,-0.25,ETof
123,2024-01-01,47,CA_247299,0.36,0.38,-0.16,-0.14,-0.97,ETof
124,2024-01-01,47,CA_247304,0.31,0.31,0.59,0.11,-0.52,ETof
125,2024-01-01,47,CA_247318,0.32,0.32,0.26,0.07,-0.71,ETof
126,2024-01-01,47,CA_247350,0.51,0.49,-0.53,-0.15,-1.0,ETof
127,2024-01-01,47,CA_247369,0.52,0.43,0.17,0.28,-1.0,ETof
128,2024-01-01,47,CA_247395,0.41,0.45,0.62,0.13,-1.0,ETof
129,2024-01-01,47,CA_247400,0.63,0.57,-0.47,0.4,-1.0,ETof
130,2024-01-01,47,CA_247439,0.28,0.27,0.84,-0.19,-1.0,ETof
131,2024-01-01,47,CA_247454,0.2,0.2,0.66,-0.06,0.27,ETof
132,2024-01-01,47,CA_247470,0.3,0.28,0.57,0.21,0.0,ETof
