field_id,crop,mae,rmse,corr,bias,skill_score
CA_100310,72,4.0,6.34,0.97,-0.83,0.94
CA_100588,47,6.33,10.46,0.93,5.67,0.8
CA_100873,215,4.5,7.69,0.97,0.5,0.94
CA_101679,215,4.08,8.1,0.96,1.58,0.91
CA_101797,215,7.58,12.71,0.9,2.25,0.77
CA_102128,215,4.17,6.7,0.92,1.17,0.84
CA_102689,215,4.33,7.68,0.96,0.0,0.9
CA_103875,61,12.0,19.4,0.71,12.0,0.13
CA_104862,215,8.25,13.85,0.96,8.08,0.87
CA_105521,47,5.83,8.8,0.94,5.83,0.8
CA_105749,61,8.92,18.02,0.81,8.92,0.45
CA_105986,61,11.5,18.6,0.66,11.17,0.3
CA_106984,122,8.08,13.97,0.95,-5.58,0.58
CA_107192,47,3.75,6.47,0.96,-0.58,0.89
CA_107269,47,5.5,10.02,0.94,-1.0,0.82
CA_107963,47,6.58,11.99,0.89,6.58,0.72
CA_108094,47,9.42,15.41,0.9,6.25,0.78
CA_109738,61,7.92,13.6,0.96,7.92,0.89
CA_110176,69,4.75,8.17,0.95,4.75,0.86
CA_110718,36,5.92,10.75,0.96,5.58,0.88
CA_110883,47,9.42,21.22,0.92,2.75,0.84
CA_110959,61,6.33,11.25,0.95,2.0,0.89
CA_11216,47,3.92,9.31,0.96,-2.42,0.92
CA_112646,176,6.08,11.81,0.89,5.42,0.72
CA_113117,47,4.75,8.18,0.98,3.92,0.94
CA_113720,66,5.17,7.87,0.99,0.0,0.98
CA_115464,69,5.92,10.12,0.88,5.92,0.49
CA_115801,61,7.58,13.58,0.98,-7.58,0.94
CA_116294,61,4.5,8.71,0.95,-0.67,0.86
CA_116825,47,12.67,29.47,0.92,-9.0,0.69
CA_11733,61,5.17,7.95,0.97,4.5,0.91
CA_117389,241,23.92,48.45,0.85,-23.58,0.48
CA_117618,176,8.25,14.46,0.97,7.25,0.93
CA_117699,47,22.83,38.59,0.87,17.83,0.67
CA_118357,241,11.0,22.46,0.94,0.5,0.87
CA_118917,47,9.08,17.93,0.97,-5.92,0.92
CA_11941,176,3.25,7.04,0.93,-2.42,0.85
CA_119568,36,17.5,41.6,0.73,-15.83,0.24
CA_119712,176,12.58,20.96,0.97,12.58,0.9
CA_119945,75,6.17,8.99,0.99,0.83,0.98
CA_120258,47,14.17,33.59,0.84,12.17,0.67
CA_120425,47,26.5,53.51,0.75,-24.5,-1.33
CA_12062,47,5.83,11.59,0.96,4.83,0.9
CA_121410,47,2.17,3.56,0.97,1.33,0.94
CA_121623,241,7.25,11.59,0.98,4.08,0.95
CA_122175,47,8.17,17.15,0.97,-7.0,0.89
CA_122403,47,2.75,4.11,0.99,0.92,0.98
CA_12291,176,6.92,10.93,0.94,-1.25,0.86
CA_123169,241,5.83,13.0,0.96,-4.17,0.89
CA_125759,69,4.5,7.64,0.97,-2.83,0.93
CA_126031,69,4.67,8.64,0.97,-3.83,0.93
CA_12627,69,1.42,2.18,0.99,-0.08,0.98
CA_126375,69,11.0,24.48,0.78,10.83,0.55
CA_127382,69,19.25,34.21,0.35,-19.25,-0.98
CA_128033,211,3.42,5.2,0.99,-0.58,0.98
CA_128901,61,5.17,11.27,0.97,5.0,0.92
CA_129661,76,36.5,63.46,0.57,-36.5,-1.34
CA_129664,75,9.83,17.43,0.9,9.83,0.72
CA_130000,75,5.42,9.13,0.99,-1.25,0.98
CA_130291,61,2.0,3.19,1.0,0.5,1.0
CA_130897,47,9.08,13.34,0.98,2.25,0.97
CA_131232,69,3.75,7.93,0.94,1.25,0.87
CA_132535,176,7.67,12.19,0.98,-0.83,0.95
CA_132720,61,8.33,15.31,0.93,7.33,0.83
CA_133674,69,5.58,10.78,0.93,3.42,0.86
CA_133883,69,7.42,13.57,0.87,-0.25,0.75
CA_134009,69,6.58,10.97,0.95,-2.58,0.89
CA_134482,69,6.83,11.21,0.89,-2.5,0.71
CA_134803,69,4.67,8.15,0.94,1.5,0.88
CA_135342,69,4.17,7.29,0.95,-1.5,0.89
CA_136233,141,5.83,9.89,0.92,-2.0,0.77
CA_136312,69,5.75,9.95,0.91,-1.25,0.82
CA_137260,176,3.33,5.24,0.99,0.0,0.98
CA_137908,241,7.83,12.4,0.99,-7.83,0.94
CA_138089,176,7.33,12.5,0.94,-4.5,0.86
CA_139701,47,11.08,22.62,0.95,10.42,0.8
CA_140561,66,8.08,13.24,0.98,2.58,0.96
CA_140665,241,8.17,16.02,0.97,-0.67,0.93
CA_141887,61,2.0,3.21,0.99,-0.5,0.98
CA_142793,3,4.67,9.28,0.99,-4.67,0.98
CA_143092,3,2.42,3.77,1.0,-1.42,1.0
CA_143271,3,5.92,9.42,0.99,5.42,0.98
CA_144104,3,30.25,57.33,0.64,-30.08,-1.12
CA_14419,69,3.42,6.46,0.68,2.58,0.37
CA_145027,47,1.5,2.55,1.0,-0.83,0.99
CA_145664,47,2.5,4.3,0.99,0.0,0.97
CA_146308,67,5.33,8.78,0.99,2.83,0.98
CA_147819,76,31.42,56.28,0.55,-31.42,-1.75
CA_149265,61,7.5,13.61,0.93,7.5,0.77
CA_149305,47,7.0,12.38,0.9,7.0,0.73
CA_149799,47,12.33,34.86,0.82,-12.33,0.54
CA_150220,36,2.17,3.58,0.99,-0.17,0.99
CA_150456,47,7.08,13.77,0.97,0.25,0.94
CA_150636,36,17.08,32.92,0.9,16.75,0.61
CA_150688,176,4.67,8.88,0.99,3.83,0.98
CA_151019,36,4.33,6.77,0.99,-1.33,0.98
CA_151516,3,5.75,8.7,0.99,0.75,0.98
CA_152508,66,8.67,16.69,0.92,7.17,0.82
CA_152516,61,6.92,13.67,0.95,-0.08,0.91
CA_152680,72,5.58,9.44,0.97,4.08,0.92
CA_15309,69,5.0,7.99,0.96,0.0,0.9
