field_id,crop,mae,rmse,corr,bias,skill_score
CA_100310,72,1.69,2.61,0.94,-0.49,0.86
CA_100588,47,1.97,3.09,0.86,1.06,0.7
CA_100873,215,2.22,3.63,0.93,-1.47,0.82
CA_101679,215,1.76,2.93,0.92,0.21,0.79
CA_101797,215,1.86,3.12,0.9,0.18,0.77
CA_102128,215,1.73,2.95,0.81,0.05,0.65
CA_102689,215,1.88,2.89,0.92,-0.53,0.81
CA_103875,61,3.35,5.26,0.78,2.92,0.23
CA_104862,215,2.77,4.37,0.92,1.29,0.8
CA_105521,47,2.12,3.23,0.77,0.73,0.54
CA_105749,61,4.19,6.94,0.61,2.98,-0.12
CA_105986,61,2.93,4.62,0.7,2.68,0.33
CA_106984,122,3.39,5.36,0.85,-2.58,0.54
CA_107192,47,2.91,4.31,0.8,-1.7,0.25
CA_107269,47,2.76,3.93,0.83,-1.51,0.52
CA_107963,47,2.38,3.4,0.92,1.98,0.77
CA_108094,47,3.31,4.78,0.86,2.98,0.62
CA_109738,61,2.83,4.58,0.91,2.09,0.77
CA_110176,69,1.54,2.51,0.91,1.16,0.78
CA_110718,36,1.58,2.94,0.94,1.4,0.86
CA_110883,47,4.7,9.24,0.78,-1.29,0.5
CA_110959,61,1.71,3.04,0.96,1.28,0.88
CA_11216,47,2.31,3.77,0.93,-1.38,0.81
CA_112646,176,2.05,3.31,0.85,1.0,0.65
CA_113117,47,1.68,2.83,0.94,1.24,0.86
CA_113720,66,1.83,2.94,0.98,-0.12,0.95
CA_115464,69,1.55,2.56,0.86,1.55,0.51
CA_115801,61,3.4,5.34,0.95,-2.47,0.86
CA_116294,61,1.67,2.83,0.89,0.21,0.77
CA_116825,47,5.57,10.66,0.79,-2.3,0.34
CA_11733,61,1.57,2.5,0.93,1.02,0.83
CA_117389,241,6.35,12.06,0.86,-5.91,0.46
CA_117618,176,2.63,4.18,0.96,1.79,0.9
CA_117699,47,6.38,10.63,0.83,2.59,0.56
CA_118357,241,4.33,9.1,0.84,-1.29,0.65
CA_118917,47,4.56,9.23,0.87,-3.47,0.63
CA_11941,176,0.91,2.06,0.88,-0.51,0.75
CA_119568,36,6.39,13.04,0.71,-5.53,-0.08
CA_119712,176,4.68,8.38,0.88,3.09,0.74
CA_119945,75,1.87,3.14,0.98,-0.53,0.96
CA_120258,47,4.39,9.16,0.8,3.5,0.61
CA_120425,47,6.91,12.89,0.75,-6.5,-0.74
CA_12062,47,2.27,3.65,0.93,1.74,0.82
CA_121410,47,1.1,1.77,0.9,0.28,0.79
CA_121623,241,2.64,4.59,0.95,1.09,0.87
CA_122175,47,5.43,9.82,0.78,-1.76,0.5
CA_122403,47,0.77,1.39,0.98,0.38,0.97
CA_12291,176,1.75,2.73,0.92,0.02,0.84
CA_123169,241,2.5,5.15,0.88,-0.62,0.74
CA_125759,69,1.32,2.32,0.96,-0.78,0.9
CA_126031,69,1.51,2.49,0.96,-0.68,0.91
CA_12627,69,1.09,1.71,0.92,0.18,0.85
CA_126375,69,3.63,6.37,0.79,3.44,0.52
CA_127382,69,5.3,8.88,0.57,-5.22,-0.68
CA_128033,211,1.24,2.18,0.97,-0.06,0.94
CA_128901,61,1.92,3.11,0.97,1.53,0.91
CA_129661,76,10.94,17.58,0.69,-10.87,-1.16
CA_129664,75,2.65,4.18,0.92,2.54,0.74
CA_130000,75,2.3,3.76,0.98,-0.82,0.95
CA_130291,61,1.5,2.49,0.98,0.48,0.96
CA_130897,47,2.53,3.96,0.97,0.05,0.95
CA_131232,69,1.18,2.02,0.94,0.54,0.88
CA_132535,176,2.16,3.54,0.97,-0.1,0.93
CA_132720,61,2.4,3.88,0.93,2.29,0.81
CA_133674,69,2.51,4.18,0.83,1.12,0.67
CA_133883,69,2.03,3.32,0.81,-0.16,0.65
CA_134009,69,2.18,3.64,0.89,-0.72,0.77
CA_134482,69,1.81,3.1,0.83,-0.26,0.65
CA_134803,69,1.84,3.07,0.87,0.69,0.74
CA_135342,69,1.4,2.17,0.93,-0.6,0.85
CA_136233,141,2.5,3.96,0.8,0.16,0.63
CA_136312,69,1.57,2.76,0.9,-0.1,0.8
CA_137260,176,2.08,4.12,0.91,-0.5,0.8
CA_137908,241,2.57,4.62,0.95,-1.98,0.87
CA_138089,176,4.77,9.96,0.55,-2.51,-0.19
CA_139701,47,3.64,7.34,0.81,1.0,0.65
CA_140561,66,1.85,3.13,0.98,-0.12,0.96
CA_140665,241,3.74,6.12,0.92,-1.62,0.83
CA_141887,61,0.94,1.42,0.97,-0.08,0.94
CA_142793,3,2.19,3.83,0.98,-1.37,0.96
CA_143092,3,1.85,2.89,0.98,-0.35,0.97
CA_143271,3,2.21,5.16,0.95,-0.42,0.9
CA_144104,3,8.49,14.84,0.76,-8.36,-1.02
CA_14419,69,1.26,2.22,0.58,0.81,0.16
CA_145027,47,1.04,1.79,0.98,-0.08,0.95
CA_145664,47,1.2,1.88,0.96,-0.19,0.91
CA_146308,67,2.08,3.48,0.97,0.59,0.94
CA_147819,76,10.14,16.01,0.67,-10.14,-1.14
CA_149265,61,2.71,4.24,0.91,2.67,0.67
CA_149305,47,1.63,2.9,0.9,1.32,0.76
CA_149799,47,4.59,10.54,0.78,-4.33,0.32
CA_150220,36,1.34,3.32,0.93,0.33,0.86
CA_150456,47,3.08,5.62,0.93,-1.04,0.83
CA_150636,36,5.92,10.82,0.59,1.8,0.28
CA_150688,176,2.13,3.44,0.97,0.27,0.94
CA_151019,36,1.6,2.87,0.96,0.65,0.93
CA_151516,3,2.48,4.33,0.98,-1.15,0.93
CA_152508,66,3.21,5.15,0.87,1.95,0.72
CA_152516,61,2.25,3.64,0.95,-0.03,0.89
CA_152680,72,1.88,3.32,0.94,0.94,0.86
CA_15309,69,1.45,2.36,0.95,-0.06,0.89
CA_153170,3,10.74,17.98,0.19,10.29,-0.02
CA_153285,3,1.9,3.17,0.98,-0.3,0.96
CA_153430,61,1.3,2.21,0.91,0.61,0.75
CA_154042,3,2.88,4.41,0.97,0.35,0.91
CA_154135,67,2.82,5.08,0.85,0.86,0.71
CA_154810,67,1.97,3.71,0.92,-0.51,0.82
CA_155363,76,1.71,2.92,0.98,0.65,0.96
CA_155560,211,0.96,1.57,0.97,-0.16,0.94
CA_155889,76,2.22,3.83,0.96,1.37,0.9
CA_156542,47,2.1,3.47,0.9,1.6,0.76
CA_157076,69,1.42,2.19,0.93,0.12,0.86
CA_157772,69,1.32,2.16,0.91,0.63,0.8
CA_158327,69,5.84,9.08,0.66,5.83,0.28
CA_159621,69,1.77,2.71,0.93,0.93,0.85
CA_160028,69,1.66,2.59,0.94,1.19,0.84
CA_160120,69,1.43,2.46,0.93,0.6,0.85
CA_160350,69,1.43,2.1,0.9,0.48,0.8
CA_160405,69,1.65,2.69,0.94,-0.65,0.86
CA_16061,61,3.15,5.97,0.77,3.15,0.47
CA_161125,69,1.72,2.87,0.92,0.78,0.85
CA_163993,69,1.23,2.07,0.95,-0.28,0.88
CA_165275,176,1.73,3.07,0.95,0.48,0.89
CA_165479,176,2.62,4.32,0.92,1.38,0.84
CA_165541,176,2.35,3.4,0.94,1.92,0.81
CA_16602,69,2.35,4.03,0.89,1.64,0.75
CA_166317,176,1.67,2.89,0.95,-0.11,0.9
CA_166718,69,1.56,2.43,0.96,-0.46,0.89
CA_166979,69,2.13,3.45,0.94,-1.16,0.76
CA_167092,69,1.92,2.84,0.93,0.68,0.85
CA_167160,69,2.65,4.62,0.75,1.69,0.52
CA_168467,69,1.56,2.51,0.98,1.21,0.94
CA_16847,69,1.6,2.68,0.96,-1.1,0.89
CA_169006,69,1.66,2.63,0.96,1.17,0.9
CA_169486,69,1.13,1.75,0.94,0.1,0.88
CA_170091,69,1.39,2.1,0.96,-0.66,0.9
CA_17091,47,1.9,2.98,0.72,0.35,0.46
CA_171395,69,1.27,2.44,0.92,0.31,0.84
CA_171957,69,2.26,3.66,0.92,-1.28,0.7
CA_172607,69,1.33,2.1,0.97,0.75,0.94
CA_173176,47,1.97,3.2,0.94,0.35,0.87
CA_17368,69,1.32,2.34,0.86,0.32,0.73
CA_174086,176,1.66,2.85,0.87,-1.31,0.7
CA_174849,176,1.85,2.9,0.97,-0.43,0.93
CA_176041,69,1.82,2.93,0.89,0.39,0.77
CA_176246,69,2.11,3.47,0.89,-1.28,0.7
CA_176261,69,1.6,2.61,0.9,0.03,0.81
CA_17644,69,1.23,1.96,0.91,0.64,0.8
CA_177425,75,1.5,2.35,0.96,0.1,0.92
CA_177775,69,1.54,2.59,0.89,-1.24,0.68
CA_178248,69,1.39,2.19,0.89,-0.12,0.75
CA_178552,69,1.58,2.41,0.96,0.86,0.92
CA_178583,69,2.27,3.76,0.91,2.06,0.77
CA_179090,69,2.34,4.36,0.81,1.3,0.64
CA_179935,69,1.74,2.75,0.88,-0.36,0.74
CA_180087,176,2.09,3.48,0.93,0.69,0.87
CA_180321,69,1.51,2.24,0.96,0.78,0.91
CA_180684,69,1.43,2.66,0.94,-0.53,0.87
CA_180936,69,1.3,1.97,0.96,0.45,0.93
CA_181084,69,1.57,2.42,0.96,-0.36,0.92
CA_18177,69,1.88,3.26,0.88,1.44,0.72
CA_181926,69,1.3,2.16,0.93,0.05,0.87
CA_182086,69,2.57,4.18,0.92,2.57,0.77
CA_183602,176,1.96,3.22,0.97,0.72,0.93
CA_183828,176,2.32,4.03,0.95,-0.22,0.89
CA_184177,76,2.1,3.72,0.96,1.16,0.92
CA_18461,69,1.76,2.8,0.8,1.59,0.52
CA_18496,69,1.17,2.07,0.89,0.63,0.78
CA_185399,47,1.81,3.01,0.93,0.31,0.86
CA_186283,75,2.53,3.79,0.95,0.42,0.9
CA_186870,141,1.74,3.17,0.92,1.36,0.82
CA_186949,211,2.25,3.66,0.91,-1.1,0.76
CA_187438,220,1.6,2.6,0.96,1.19,0.89
CA_188163,176,2.55,4.17,0.96,-0.89,0.91
CA_188282,176,2.26,3.99,0.96,-1.09,0.92
CA_189979,61,3.42,5.44,0.93,3.37,0.77
CA_192791,36,3.81,6.68,0.85,1.68,0.7
CA_192944,176,3.72,6.83,0.87,3.62,0.7
CA_194654,3,9.23,15.65,0.54,8.8,0.22
CA_195055,3,12.02,19.44,0.38,11.78,0.06
CA_195552,3,12.97,21.72,0.32,12.86,0.05
CA_196039,3,13.73,23.61,0.28,13.69,-0.02
CA_196217,3,3.54,7.89,0.86,3.0,0.71
CA_196350,3,11.51,19.63,0.41,11.51,0.1
CA_197206,36,5.89,10.5,0.79,-3.89,0.47
CA_197548,47,2.36,4.52,0.79,0.84,0.52
CA_197684,211,1.92,3.28,0.95,-0.6,0.9
CA_198018,176,2.12,3.54,0.97,-0.58,0.93
CA_198392,61,5.26,9.05,0.78,5.09,0.47
CA_199389,75,1.16,2.04,0.95,-0.41,0.9
