time,actual_et,field_id,crop,actual_eto,actual_etof
2016-01-01,0.729,CA_68010,220,0.921,0.792
2016-01-02,0.948,CA_68010,220,1.197,0.792
2016-01-03,0.948,CA_68010,220,1.197,0.792
2016-01-04,0.511,CA_68010,220,0.645,0.792
2016-01-05,0.656,CA_68010,220,0.829,0.792
2016-01-06,0.656,CA_68010,220,0.829,0.792
2016-01-07,0.583,CA_68010,220,0.737,0.792
2016-01-08,0.511,CA_68010,220,0.645,0.792
2016-01-09,0.875,CA_68010,220,1.105,0.792
2016-01-10,0.583,CA_68010,220,0.737,0.792
2016-01-11,0.729,CA_68010,220,0.921,0.792
2016-01-12,0.729,CA_68010,220,0.921,0.792
2016-01-13,1.094,CA_68010,220,1.382,0.792
2016-01-14,0.656,CA_68010,220,0.829,0.792
2016-01-15,0.656,CA_68010,220,0.829,0.792
2016-01-16,0.656,CA_68010,220,0.829,0.792
2016-01-17,0.875,CA_68010,220,1.105,0.792
2016-01-18,0.656,CA_68010,220,0.829,0.792
2016-01-19,0.365,CA_68010,220,0.461,0.792
2016-01-20,0.729,CA_68010,220,0.921,0.792
2016-01-21,0.656,CA_68010,220,0.829,0.792
2016-01-22,0.729,CA_68010,220,0.921,0.792
2016-01-23,0.729,CA_68010,220,0.921,0.792
2016-01-24,0.729,CA_68010,220,0.921,0.792
2016-01-25,0.802,CA_68010,220,1.013,0.792
2016-01-26,0.802,CA_68010,220,1.013,0.792
2016-01-27,0.802,CA_68010,220,1.013,0.792
2016-01-28,0.875,CA_68010,220,1.105,0.792
2016-01-29,0.729,CA_68010,220,0.921,0.792
2016-01-30,0.365,CA_68010,220,0.461,0.792
2016-01-31,0.365,CA_68010,220,0.461,0.792
2016-02-01,2.586,CA_68010,220,3.266,0.792
2016-02-02,1.256,CA_68010,220,1.586,0.792
2016-02-03,1.256,CA_68010,220,1.586,0.792
2016-02-04,1.035,CA_68010,220,1.306,0.792
2016-02-05,1.108,CA_68010,220,1.4,0.792
2016-02-06,1.182,CA_68010,220,1.493,0.792
2016-02-07,1.256,CA_68010,220,1.586,0.792
2016-02-08,1.404,CA_68010,220,1.773,0.792
2016-02-09,1.552,CA_68010,220,1.96,0.792
2016-02-10,1.256,CA_68010,220,1.586,0.792
2016-02-11,1.035,CA_68010,220,1.306,0.792
2016-02-12,1.108,CA_68010,220,1.4,0.792
2016-02-13,1.404,CA_68010,220,1.773,0.792
2016-02-14,1.626,CA_68010,220,2.053,0.792
2016-02-15,1.478,CA_68010,220,1.866,0.792
2016-02-16,1.182,CA_68010,220,1.493,0.792
2016-02-17,0.813,CA_68010,220,1.026,0.792
2016-02-18,1.7,CA_68010,220,2.146,0.792
2016-02-19,1.478,CA_68010,220,1.866,0.792
2016-02-20,1.995,CA_68010,220,2.52,0.792
2016-02-21,2.143,CA_68010,220,2.706,0.792
2016-02-22,1.404,CA_68010,220,1.773,0.792
2016-02-23,1.126,CA_68010,220,1.4,0.804
2016-02-24,1.296,CA_68010,220,1.586,0.817
2016-02-25,1.316,CA_68010,220,1.586,0.829
2016-02-26,1.414,CA_68010,220,1.68,0.842
2016-02-27,1.515,CA_68010,220,1.773,0.855
2016-02-28,1.537,CA_68010,220,1.773,0.867
2016-02-29,1.56,CA_68010,220,1.773,0.88
2016-03-01,2.276,CA_68010,220,2.551,0.892
2016-03-02,2.088,CA_68010,220,2.362,0.884
2016-03-03,2.069,CA_68010,220,2.362,0.876
2016-03-04,2.214,CA_68010,220,2.551,0.868
2016-03-05,1.381,CA_68010,220,1.606,0.86
2016-03-06,2.011,CA_68010,220,2.362,0.851
2016-03-07,1.434,CA_68010,220,1.701,0.843
2016-03-08,1.657,CA_68010,220,1.984,0.835
2016-03-09,1.563,CA_68010,220,1.89,0.827
2016-03-10,2.409,CA_68010,220,2.835,0.85
2016-03-11,1.402,CA_68010,220,1.606,0.873
2016-03-12,1.607,CA_68010,220,1.795,0.895
2016-03-13,1.301,CA_68010,220,1.417,0.918
2016-03-14,2.044,CA_68010,220,2.173,0.941
2016-03-15,2.731,CA_68010,220,2.835,0.963
2016-03-16,2.888,CA_68010,220,2.929,0.986
2016-03-17,2.955,CA_68010,220,2.929,1.009
2016-03-18,3.264,CA_68010,220,3.213,1.016
2016-03-19,3.287,CA_68010,220,3.213,1.023
2016-03-20,3.309,CA_68010,220,3.213,1.03
2016-03-21,3.038,CA_68010,220,2.929,1.037
2016-03-22,3.552,CA_68010,220,3.402,1.044
2016-03-23,3.179,CA_68010,220,3.024,1.051
2016-03-24,3.601,CA_68010,220,3.402,1.058
2016-03-25,3.826,CA_68010,220,3.591,1.066
2016-03-26,3.801,CA_68010,220,3.591,1.059
2016-03-27,3.875,CA_68010,220,3.685,1.051
2016-03-28,3.257,CA_68010,220,3.118,1.044
2016-03-29,3.235,CA_68010,220,3.118,1.037
2016-03-30,3.505,CA_68010,220,3.402,1.03
2016-03-31,3.674,CA_68010,220,3.591,1.023
2016-04-01,3.934,CA_68010,220,3.871,1.016
2016-04-02,3.811,CA_68010,220,3.776,1.009
2016-04-03,3.905,CA_68010,220,3.871,1.009
2016-04-04,4.665,CA_68010,220,4.626,1.008
2016-04-05,4.567,CA_68010,220,4.532,1.008
2016-04-06,3.995,CA_68010,220,3.965,1.007
2016-04-07,4.469,CA_68010,220,4.437,1.007
2016-04-08,3.326,CA_68010,220,3.304,1.007
2016-04-09,2.28,CA_68010,220,2.266,1.006
2016-04-10,2.089,CA_68010,220,2.077,1.006
2016-04-11,3.227,CA_68010,220,3.21,1.005
2016-04-12,4.175,CA_68010,220,4.154,1.005
2016-04-13,3.888,CA_68010,220,3.871,1.005
2016-04-14,4.455,CA_68010,220,4.437,1.004
2016-04-15,4.548,CA_68010,220,4.532,1.004
2016-04-16,4.168,CA_68010,220,4.154,1.003
2016-04-17,4.639,CA_68010,220,4.626,1.003
2016-04-18,4.448,CA_68010,220,4.437,1.002
2016-04-19,4.632,CA_68010,220,4.626,1.001
2016-04-20,4.439,CA_68010,220,4.437,1.0
2016-04-21,5.0,CA_68010,220,5.004,0.999
2016-04-22,4.241,CA_68010,220,4.249,0.998
2016-04-23,4.613,CA_68010,220,4.626,0.997
2016-04-24,4.232,CA_68010,220,4.249,0.996
2016-04-25,3.852,CA_68010,220,3.871,0.995
2016-04-26,4.411,CA_68010,220,4.437,0.994
2016-04-27,4.85,CA_68010,220,4.909,0.988
2016-04-28,3.336,CA_68010,220,3.399,0.982
2016-04-29,4.696,CA_68010,220,4.815,0.975
2016-04-30,5.124,CA_68010,220,5.287,0.969
2016-05-01,4.391,CA_68010,220,4.56,0.963
2016-05-02,4.711,CA_68010,220,4.925,0.957
2016-05-03,4.854,CA_68010,220,5.107,0.95
2016-05-04,4.822,CA_68010,220,5.107,0.944
2016-05-05,3.763,CA_68010,220,4.013,0.938
2016-05-06,3.229,CA_68010,220,3.466,0.932
2016-05-07,2.447,CA_68010,220,2.645,0.925
2016-05-08,2.766,CA_68010,220,3.01,0.919
2016-05-09,3.913,CA_68010,220,4.287,0.913
2016-05-10,5.044,CA_68010,220,5.563,0.907
2016-05-11,5.091,CA_68010,220,5.655,0.9
2016-05-12,5.708,CA_68010,220,6.384,0.894
2016-05-13,5.458,CA_68010,220,6.111,0.893
2016-05-14,5.128,CA_68010,220,5.746,0.892
2016-05-15,5.204,CA_68010,220,5.837,0.892
2016-05-16,5.524,CA_68010,220,6.202,0.891
2016-05-17,5.762,CA_68010,220,6.475,0.89
2016-05-18,6.0,CA_68010,220,6.749,0.889
2016-05-19,5.671,CA_68010,220,6.384,0.888
2016-05-20,4.775,CA_68010,220,5.381,0.887
2016-05-21,4.457,CA_68010,220,5.016,0.888
2016-05-22,4.786,CA_68010,220,5.381,0.889
2016-05-23,4.954,CA_68010,220,5.563,0.891
2016-05-24,4.472,CA_68010,220,5.016,0.892
2016-05-25,4.803,CA_68010,220,5.381,0.893
2016-05-26,5.461,CA_68010,220,6.111,0.894
2016-05-27,5.712,CA_68010,220,6.384,0.895
2016-05-28,5.964,CA_68010,220,6.658,0.896
2016-05-29,6.38,CA_68010,220,7.114,0.897
2016-05-30,6.47,CA_68010,220,7.205,0.898
2016-05-31,6.723,CA_68010,220,7.479,0.899
2016-06-01,6.779,CA_68010,220,7.532,0.9
2016-06-02,6.87,CA_68010,220,7.624,0.901
2016-06-03,6.795,CA_68010,220,7.532,0.902
2016-06-04,6.471,CA_68010,220,7.165,0.903
2016-06-05,6.977,CA_68010,220,7.716,0.904
2016-06-06,6.819,CA_68010,220,7.532,0.905
2016-06-07,7.243,CA_68010,220,7.991,0.906
2016-06-08,7.252,CA_68010,220,7.991,0.907
2016-06-09,5.925,CA_68010,220,6.522,0.908
2016-06-10,6.182,CA_68010,220,6.797,0.91
2016-06-11,5.102,CA_68010,220,5.603,0.911
2016-06-12,5.61,CA_68010,220,6.154,0.912
2016-06-13,6.12,CA_68010,220,6.705,0.913
2016-06-14,6.427,CA_68010,220,7.073,0.909
2016-06-15,5.734,CA_68010,220,6.338,0.905
2016-06-16,5.377,CA_68010,220,5.971,0.901
2016-06-17,5.189,CA_68010,220,5.787,0.897
2016-06-18,5.493,CA_68010,220,6.154,0.893
2016-06-19,5.469,CA_68010,220,6.154,0.889
2016-06-20,6.581,CA_68010,220,7.44,0.885
2016-06-21,7.603,CA_68010,220,8.634,0.881
2016-06-22,7.884,CA_68010,220,9.002,0.876
2016-06-23,8.081,CA_68010,220,9.277,0.871
2016-06-24,7.4,CA_68010,220,8.542,0.866
2016-06-25,6.806,CA_68010,220,7.899,0.862
2016-06-26,7.241,CA_68010,220,8.451,0.857
2016-06-27,7.044,CA_68010,220,8.267,0.852
2016-06-28,6.538,CA_68010,220,7.716,0.847
2016-06-29,7.275,CA_68010,220,8.634,0.843
2016-06-30,6.05,CA_68010,220,7.256,0.834
2016-07-01,5.199,CA_68010,220,6.304,0.825
2016-07-02,5.295,CA_68010,220,6.489,0.816
2016-07-03,5.387,CA_68010,220,6.675,0.807
2016-07-04,5.624,CA_68010,220,7.045,0.798
2016-07-05,5.707,CA_68010,220,7.231,0.789
2016-07-06,5.426,CA_68010,220,6.953,0.78
2016-07-07,5.293,CA_68010,220,6.86,0.772
2016-07-08,5.493,CA_68010,220,7.045,0.78
2016-07-09,5.624,CA_68010,220,7.138,0.788
2016-07-10,5.534,CA_68010,220,6.953,0.796
2016-07-11,5.591,CA_68010,220,6.953,0.804
2016-07-12,6.174,CA_68010,220,7.602,0.812
2016-07-13,6.008,CA_68010,220,7.324,0.82
2016-07-14,5.761,CA_68010,220,6.953,0.829
2016-07-15,5.662,CA_68010,220,6.767,0.837
2016-07-16,5.533,CA_68010,220,6.675,0.829
2016-07-17,5.711,CA_68010,220,6.953,0.821
2016-07-18,4.903,CA_68010,220,6.026,0.814
2016-07-19,5.231,CA_68010,220,6.489,0.806
2016-07-20,5.256,CA_68010,220,6.582,0.798
2016-07-21,5.792,CA_68010,220,7.324,0.791
2016-07-22,6.462,CA_68010,220,8.251,0.783
2016-07-23,6.399,CA_68010,220,8.251,0.776
2016-07-24,5.454,CA_68010,220,6.953,0.784
2016-07-25,5.148,CA_68010,220,6.489,0.793
2016-07-26,5.429,CA_68010,220,6.767,0.802
2016-07-27,5.865,CA_68010,220,7.231,0.811
2016-07-28,6.31,CA_68010,220,7.694,0.82
2016-07-29,5.994,CA_68010,220,7.231,0.829
2016-07-30,6.291,CA_68010,220,7.509,0.838
2016-07-31,6.044,CA_68010,220,7.138,0.847
2016-08-01,5.703,CA_68010,220,6.646,0.858
2016-08-02,5.937,CA_68010,220,6.828,0.869
2016-08-03,6.415,CA_68010,220,7.283,0.881
2016-08-04,6.498,CA_68010,220,7.283,0.892
2016-08-05,5.429,CA_68010,220,6.009,0.904
2016-08-06,5.664,CA_68010,220,6.191,0.915
2016-08-07,6.24,CA_68010,220,6.737,0.926
