field_id,crop,time,et_actual,et_forecast
CA_342669,36,2023-12-01,20.825,10.811
CA_342669,36,2023-11-01,32.975,28.226
CA_342669,36,2023-10-01,70.795,81.18
CA_342669,36,2023-09-01,94.272,118.159
CA_342669,36,2023-08-01,150.078,161.861
CA_342669,36,2023-07-01,192.708,183.464
CA_342669,36,2023-06-01,149.855,149.855
CA_342669,36,2023-05-01,127.873,127.873
CA_342669,36,2023-04-01,86.985,86.985
CA_342669,36,2023-03-01,48.559,48.559
CA_342669,36,2023-02-01,35.36,35.36
CA_342669,36,2023-01-01,21.919,21.919
CA_343914,47,2023-12-01,23.553,15.759
CA_343914,47,2023-11-01,33.491,30.47
CA_343914,47,2023-10-01,73.734,83.631
CA_343914,47,2023-09-01,100.799,121.283
CA_343914,47,2023-08-01,155.521,159.683
CA_343914,47,2023-07-01,195.815,185.554
CA_343914,47,2023-06-01,160.726,160.726
CA_343914,47,2023-05-01,134.002,134.002
CA_343914,47,2023-04-01,87.928,87.928
CA_343914,47,2023-03-01,50.599,50.599
CA_343914,47,2023-02-01,36.986,36.986
CA_343914,47,2023-01-01,26.671,26.671
CA_136312,69,2023-12-01,27.444,17.922
CA_136312,69,2023-11-01,44.054,39.072
CA_136312,69,2023-10-01,78.56,98.122
CA_136312,69,2023-09-01,112.515,132.849
CA_136312,69,2023-08-01,173.315,181.578
CA_136312,69,2023-07-01,231.424,202.47
CA_136312,69,2023-06-01,163.541,163.541
CA_136312,69,2023-05-01,136.942,136.942
CA_136312,69,2023-04-01,107.332,107.332
CA_136312,69,2023-03-01,56.156,56.156
CA_136312,69,2023-02-01,43.313,43.313
CA_136312,69,2023-01-01,41.237,41.237
CA_136233,141,2023-12-01,33.836,22.87
CA_136233,141,2023-11-01,45.282,39.278
CA_136233,141,2023-10-01,85.075,98.754
CA_136233,141,2023-09-01,109.836,122.442
CA_136233,141,2023-08-01,169.426,161.309
CA_136233,141,2023-07-01,206.502,176.267
CA_136233,141,2023-06-01,155.331,155.331
CA_136233,141,2023-05-01,139.819,139.819
CA_136233,141,2023-04-01,102.583,102.583
CA_136233,141,2023-03-01,54.297,54.297
CA_136233,141,2023-02-01,36.414,36.414
CA_136233,141,2023-01-01,36.682,36.682
CA_344925,152,2023-12-01,23.503,17.547
CA_344925,152,2023-11-01,40.716,36.93
CA_344925,152,2023-10-01,85.794,94.268
CA_344925,152,2023-09-01,110.542,133.949
CA_344925,152,2023-08-01,172.416,179.262
CA_344925,152,2023-07-01,214.689,204.845
CA_344925,152,2023-06-01,175.054,175.054
CA_344925,152,2023-05-01,144.164,144.164
CA_344925,152,2023-04-01,102.033,102.033
CA_344925,152,2023-03-01,58.437,58.437
CA_344925,152,2023-02-01,41.71,41.71
CA_344925,152,2023-01-01,31.024,31.024
CA_342781,176,2023-12-01,23.9,11.614
CA_342781,176,2023-11-01,32.278,24.638
CA_342781,176,2023-10-01,70.244,75.126
CA_342781,176,2023-09-01,94.399,116.85
CA_342781,176,2023-08-01,144.581,156.897
CA_342781,176,2023-07-01,188.777,180.828
CA_342781,176,2023-06-01,150.509,150.509
CA_342781,176,2023-05-01,128.871,128.871
CA_342781,176,2023-04-01,89.844,89.844
CA_342781,176,2023-03-01,47.175,47.175
CA_342781,176,2023-02-01,37.196,37.196
CA_342781,176,2023-01-01,21.107,21.107
CA_343274,47,2023-12-01,22.516,11.018
CA_343274,47,2023-11-01,31.99,24.286
CA_343274,47,2023-10-01,67.239,72.773
CA_343274,47,2023-09-01,89.779,113.45
CA_343274,47,2023-08-01,140.238,153.326
