time,actual_et,field_id,crop,actual_eto,actual_etof
2023-01-01,0.0,CA_343914,47,0.087,0.006
2023-01-02,0.003,CA_343914,47,0.606,0.006
2023-01-03,0.003,CA_343914,47,0.606,0.006
2023-01-04,0.003,CA_343914,47,0.606,0.006
2023-01-05,0.004,CA_343914,47,0.779,0.006
2023-01-06,0.007,CA_343914,47,1.299,0.006
2023-01-07,0.001,CA_343914,47,0.26,0.006
2023-01-08,0.002,CA_343914,47,0.346,0.006
2023-01-09,0.003,CA_343914,47,0.606,0.006
2023-01-10,0.007,CA_343914,47,1.212,0.006
2023-01-11,0.007,CA_343914,47,1.299,0.006
2023-01-12,0.006,CA_343914,47,1.126,0.006
2023-01-13,0.002,CA_343914,47,0.346,0.006
2023-01-14,0.004,CA_343914,47,0.6930000000000001,0.006
2023-01-15,0.005,CA_343914,47,0.953,0.006
2023-01-16,0.006,CA_343914,47,1.039,0.006
2023-01-17,0.003,CA_343914,47,0.606,0.006
2023-01-18,0.006,CA_343914,47,1.039,0.006
2023-01-19,0.005,CA_343914,47,0.866,0.006
2023-01-20,0.004,CA_343914,47,0.779,0.006
2023-01-21,0.006,CA_343914,47,1.039,0.006
2023-01-22,0.004,CA_343914,47,0.6930000000000001,0.006
2023-01-23,0.005,CA_343914,47,0.953,0.006
2023-01-24,0.006,CA_343914,47,1.039,0.006
2023-01-25,0.007,CA_343914,47,1.212,0.006
2023-01-26,0.007,CA_343914,47,1.299,0.006
2023-01-27,0.005,CA_343914,47,0.953,0.006
2023-01-28,0.005,CA_343914,47,0.866,0.006
2023-01-29,0.004,CA_343914,47,0.779,0.006
2023-01-30,0.007,CA_343914,47,1.299,0.006
2023-01-31,0.008,CA_343914,47,1.385,0.006
2023-02-01,0.009,CA_343914,47,1.706,0.006
2023-02-02,0.013,CA_343914,47,2.244,0.006
2023-02-03,0.009,CA_343914,47,1.526,0.006
2023-02-04,0.008,CA_343914,47,1.436,0.006
2023-02-05,0.006,CA_343914,47,0.987,0.006
2023-02-06,0.005,CA_343914,47,0.898,0.006
2023-02-07,0.032,CA_343914,47,1.347,0.024
2023-02-08,0.052,CA_343914,47,1.257,0.042
2023-02-09,0.134,CA_343914,47,2.244,0.059
2023-02-10,0.09,CA_343914,47,1.167,0.077
2023-02-11,0.154,CA_343914,47,1.616,0.095
2023-02-12,0.224,CA_343914,47,1.975,0.113
2023-02-13,0.153,CA_343914,47,1.167,0.131
2023-02-14,0.121,CA_343914,47,0.808,0.149
2023-02-15,0.225,CA_343914,47,1.347,0.167
2023-02-16,0.333,CA_343914,47,1.795,0.185
2023-02-17,0.401,CA_343914,47,1.975,0.203
2023-02-18,0.318,CA_343914,47,1.436,0.221
2023-02-19,0.0,CA_343914,47,0.0,0.239
2023-02-20,0.485,CA_343914,47,1.885,0.257
2023-02-21,0.272,CA_343914,47,0.987,0.275
2023-02-22,0.263,CA_343914,47,0.898,0.293
2023-02-23,0.307,CA_343914,47,0.987,0.311
2023-02-24,0.295,CA_343914,47,0.898,0.329
2023-02-25,0.561,CA_343914,47,1.616,0.347
2023-02-26,0.36,CA_343914,47,0.987,0.365
2023-02-27,0.378,CA_343914,47,0.987,0.383
2023-02-28,0.324,CA_343914,47,0.808,0.401
2023-03-01,0.621,CA_343914,47,1.483,0.419
2023-03-02,0.445,CA_343914,47,1.019,0.437
2023-03-03,0.59,CA_343914,47,1.297,0.455
2023-03-04,0.526,CA_343914,47,1.112,0.473
2023-03-05,0.591,CA_343914,47,1.205,0.491
2023-03-06,0.613,CA_343914,47,1.205,0.509
2023-03-07,0.683,CA_343914,47,1.297,0.527
2023-03-08,0.707,CA_343914,47,1.297,0.545
2023-03-09,0.678,CA_343914,47,1.205,0.5630000000000001
2023-03-10,0.592,CA_343914,47,1.019,0.581
2023-03-11,0.8320000000000001,CA_343914,47,1.39,0.599
