field_id,crop,mae,rmse,corr,bias,skill_score
CA_100310,72,0.32,0.52,0.88,-0.07,0.77
CA_100588,47,0.32,0.51,0.82,0.15,0.64
CA_100873,215,0.41,0.67,0.88,-0.21,0.74
CA_101679,215,0.32,0.54,0.86,0.03,0.69
CA_101797,215,0.31,0.54,0.86,0.03,0.7
CA_102128,215,0.28,0.48,0.78,0.01,0.6
CA_102689,215,0.32,0.54,0.86,-0.08,0.7
CA_103875,61,0.51,0.8,0.77,0.42,0.28
CA_104862,215,0.49,0.8,0.87,0.19,0.71
CA_105521,47,0.36,0.56,0.73,0.11,0.48
CA_105749,61,0.64,1.09,0.58,0.43,-0.08
CA_105986,61,0.48,0.76,0.66,0.39,0.3
CA_106984,122,0.53,0.85,0.82,-0.37,0.49
CA_107192,47,0.45,0.67,0.77,-0.25,0.27
CA_107269,47,0.44,0.66,0.77,-0.22,0.44
CA_107963,47,0.39,0.57,0.87,0.29,0.7
CA_108094,47,0.54,0.79,0.81,0.43,0.57
CA_109738,61,0.43,0.71,0.9,0.3,0.74
CA_110176,69,0.25,0.42,0.87,0.17,0.72
CA_110718,36,0.24,0.45,0.93,0.2,0.85
CA_110883,47,0.71,1.39,0.76,-0.19,0.47
CA_110959,61,0.28,0.51,0.94,0.19,0.84
CA_11216,47,0.36,0.58,0.92,-0.2,0.79
CA_112646,176,0.31,0.53,0.84,0.15,0.63
CA_113117,47,0.26,0.45,0.93,0.18,0.84
CA_113720,66,0.35,0.61,0.95,-0.02,0.91
CA_115464,69,0.24,0.38,0.85,0.22,0.53
CA_115801,61,0.57,0.92,0.92,-0.36,0.81
CA_116294,61,0.26,0.46,0.87,0.03,0.72
CA_116825,47,0.86,1.59,0.77,-0.33,0.31
CA_11733,61,0.24,0.4,0.92,0.15,0.81
CA_117389,241,0.94,1.78,0.85,-0.86,0.44
CA_117618,176,0.44,0.75,0.93,0.26,0.85
CA_117699,47,0.95,1.6,0.81,0.38,0.52
CA_118357,241,0.71,1.39,0.82,-0.19,0.62
CA_118917,47,0.72,1.41,0.85,-0.5,0.6
CA_11941,176,0.14,0.32,0.88,-0.07,0.74
CA_119568,36,0.94,1.9,0.7,-0.8,-0.07
CA_119712,176,0.73,1.31,0.85,0.45,0.7
CA_119945,75,0.38,0.66,0.96,-0.08,0.91
CA_120258,47,0.68,1.38,0.79,0.51,0.58
CA_120425,47,1.02,1.89,0.72,-0.94,-0.71
CA_12062,47,0.34,0.56,0.92,0.25,0.81
CA_121410,47,0.18,0.3,0.86,0.04,0.72
CA_121623,241,0.47,0.81,0.92,0.16,0.82
CA_122175,47,0.89,1.55,0.74,-0.26,0.42
CA_122403,47,0.16,0.27,0.97,0.06,0.94
CA_12291,176,0.31,0.49,0.88,0.0,0.77
CA_123169,241,0.43,0.86,0.84,-0.09,0.68
CA_125759,69,0.23,0.41,0.94,-0.11,0.85
CA_126031,69,0.27,0.47,0.93,-0.1,0.86
CA_12627,69,0.17,0.28,0.91,0.03,0.82
CA_126375,69,0.56,0.99,0.74,0.5,0.47
CA_127382,69,0.8,1.31,0.53,-0.76,-0.6
CA_128033,211,0.25,0.44,0.94,-0.01,0.89
CA_128901,61,0.31,0.55,0.94,0.22,0.87
CA_129661,76,1.59,2.56,0.65,-1.58,-1.14
CA_129664,75,0.4,0.67,0.88,0.37,0.68
CA_130000,75,0.4,0.7,0.96,-0.12,0.91
CA_130291,61,0.33,0.58,0.95,0.07,0.9
CA_130897,47,0.45,0.75,0.96,0.01,0.91
CA_131232,69,0.22,0.42,0.89,0.08,0.77
CA_132535,176,0.4,0.74,0.93,-0.02,0.86
CA_132720,61,0.36,0.62,0.91,0.33,0.77
CA_133674,69,0.43,0.76,0.76,0.16,0.57
CA_133883,69,0.33,0.57,0.78,-0.02,0.59
CA_134009,69,0.38,0.69,0.83,-0.1,0.65
CA_134482,69,0.31,0.54,0.77,-0.04,0.55
CA_134803,69,0.32,0.56,0.8,0.1,0.63
CA_135342,69,0.24,0.4,0.89,-0.09,0.78
CA_136233,141,0.4,0.67,0.76,0.02,0.56
CA_136312,69,0.31,0.55,0.83,-0.01,0.68
CA_137260,176,0.38,0.69,0.88,-0.07,0.74
CA_137908,241,0.44,0.8,0.92,-0.29,0.81
CA_138089,176,0.73,1.47,0.54,-0.36,-0.19
CA_139701,47,0.57,1.11,0.8,0.15,0.63
CA_140561,66,0.37,0.67,0.96,-0.02,0.92
CA_140665,241,0.61,1.01,0.89,-0.23,0.79
CA_141887,61,0.16,0.26,0.95,-0.01,0.91
CA_142793,3,0.39,0.72,0.97,-0.2,0.93
CA_143092,3,0.35,0.59,0.97,-0.05,0.94
CA_143271,3,0.42,0.88,0.94,-0.06,0.87
CA_144104,3,1.24,2.15,0.74,-1.21,-0.99
CA_14419,69,0.2,0.35,0.58,0.12,0.18
CA_145027,47,0.16,0.28,0.97,-0.01,0.94
CA_145664,47,0.2,0.34,0.94,-0.03,0.87
CA_146308,67,0.38,0.67,0.95,0.09,0.9
CA_147819,76,1.48,2.32,0.63,-1.47,-1.11
CA_149265,61,0.4,0.66,0.89,0.39,0.65
CA_149305,47,0.26,0.45,0.89,0.19,0.75
CA_149799,47,0.69,1.54,0.77,-0.63,0.32
CA_150220,36,0.21,0.53,0.92,0.05,0.84
CA_150456,47,0.55,0.97,0.89,-0.15,0.77
CA_150636,36,0.87,1.6,0.57,0.26,0.25
CA_150688,176,0.39,0.66,0.95,0.04,0.89
CA_151019,36,0.24,0.44,0.96,0.1,0.92
CA_151516,3,0.45,0.8,0.95,-0.17,0.89
CA_152508,66,0.48,0.78,0.85,0.28,0.7
CA_152516,61,0.36,0.6,0.93,-0.0,0.86
CA_152680,72,0.31,0.54,0.92,0.14,0.82
CA_15309,69,0.25,0.44,0.91,-0.01,0.82
CA_153170,3,1.58,2.63,0.18,1.49,-0.03
CA_153285,3,0.39,0.66,0.96,-0.04,0.93
CA_153430,61,0.2,0.35,0.89,0.09,0.73
CA_154042,3,0.48,0.79,0.95,0.05,0.87
CA_154135,67,0.48,0.84,0.81,0.13,0.64
CA_154810,67,0.34,0.62,0.89,-0.07,0.77
CA_155363,76,0.34,0.6,0.96,0.09,0.93
CA_155560,211,0.2,0.33,0.94,-0.02,0.88
CA_155889,76,0.37,0.62,0.94,0.2,0.87
CA_156542,47,0.39,0.66,0.83,0.23,0.63
CA_157076,69,0.26,0.42,0.88,0.02,0.77
CA_157772,69,0.23,0.39,0.87,0.09,0.74
CA_158327,69,0.86,1.36,0.64,0.85,0.27
CA_159621,69,0.33,0.53,0.88,0.13,0.75
CA_160028,69,0.28,0.46,0.9,0.17,0.77
CA_160120,69,0.26,0.46,0.88,0.09,0.77
CA_160350,69,0.24,0.38,0.86,0.07,0.73
CA_160405,69,0.32,0.53,0.89,-0.09,0.77
CA_16061,61,0.46,0.9,0.76,0.46,0.45
CA_161125,69,0.34,0.57,0.86,0.11,0.74
CA_163993,69,0.24,0.4,0.91,-0.04,0.82
CA_165275,176,0.3,0.53,0.93,0.07,0.85
CA_165479,176,0.41,0.68,0.91,0.2,0.81
CA_165541,176,0.37,0.56,0.92,0.28,0.77
CA_16602,69,0.37,0.63,0.87,0.24,0.72
CA_166317,176,0.28,0.47,0.93,-0.02,0.87
CA_166718,69,0.29,0.5,0.91,-0.07,0.79
CA_166979,69,0.38,0.62,0.88,-0.17,0.66
CA_167092,69,0.31,0.51,0.88,0.1,0.77
CA_167160,69,0.41,0.7,0.73,0.25,0.5
CA_168467,69,0.3,0.51,0.94,0.18,0.87
CA_16847,69,0.26,0.46,0.94,-0.16,0.85
