field_id,crop,mae,rmse,corr,bias,skill_score
CA_100310,72,0.68,0.8,0.67,0.68,-0.43
CA_100588,47,1.05,1.1,0.12,1.05,-1.73
CA_100873,215,0.64,0.89,0.42,0.61,-0.43
CA_101679,215,1.01,1.11,0.26,1.01,-2.46
CA_101797,215,1.17,1.27,0.54,1.17,-3.42
CA_102128,215,0.48,0.53,0.57,0.48,0.87
CA_102689,215,1.0,1.1,0.36,1.0,-2.47
CA_103875,61,0.3,0.34,0.18,-0.27,0.97
CA_104862,215,0.9,1.02,0.15,0.85,0.68
CA_105521,47,1.23,1.29,0.4,1.23,-3.1
CA_105749,61,0.6,0.66,0.0,0.49,-2.09
CA_105986,61,1.0,1.05,-0.06,1.0,-9.82
CA_106984,122,0.67,0.83,-0.69,0.3,-0.02
CA_107192,47,0.84,0.94,-0.7,0.83,0.48
CA_107269,47,0.76,0.85,-0.84,0.76,0.81
CA_107963,47,0.45,0.55,-0.29,0.44,-0.54
CA_108094,47,1.02,1.18,-0.06,-1.01,-1.01
CA_109738,61,1.14,1.26,-0.46,-0.82,-3.0
CA_110176,69,0.49,0.62,-0.23,0.33,0.77
CA_110718,36,0.96,1.23,-0.53,0.95,-2.05
CA_110883,47,3.98,4.02,0.8,3.98,-1.55
CA_110959,61,0.57,0.63,0.83,-0.57,0.71
CA_11216,47,0.82,1.03,0.46,0.63,-0.28
CA_112646,176,0.28,0.33,0.05,-0.18,0.98
CA_113117,47,1.34,1.53,-0.62,-1.19,0.35
CA_113720,66,0.66,1.15,0.13,0.5,0.79
CA_115464,69,0.33,0.37,-0.15,-0.33,0.98
CA_115801,61,0.91,1.09,0.33,-0.13,-1.7
CA_116294,61,1.13,1.34,-0.39,1.13,-1.27
CA_116825,47,1.03,1.05,0.89,1.03,0.3
CA_11733,61,0.5,0.58,0.07,-0.33,0.94
CA_117389,241,4.11,4.14,0.44,-4.11,-3.2
CA_117618,176,1.37,1.54,0.1,1.37,0.73
CA_117699,47,1.37,1.57,0.43,1.25,0.78
CA_118357,241,3.45,3.84,0.47,3.45,-1.66
CA_118917,47,1.89,2.44,0.6,1.56,-0.22
CA_11941,176,0.88,0.91,0.6,0.88,0.85
CA_119568,36,0.5,0.62,0.87,-0.23,0.67
CA_119712,176,1.78,2.0,0.75,-1.08,-0.83
CA_119945,75,0.96,1.16,0.14,0.92,0.87
CA_120258,47,1.64,1.92,0.09,0.47,-0.71
CA_120425,47,0.43,0.48,0.04,0.36,0.94
CA_12062,47,0.74,0.82,0.55,-0.74,0.9
CA_121410,47,2.12,2.2,0.29,2.12,-12.31
CA_121623,241,1.61,1.91,-0.49,0.48,-0.03
CA_122175,47,0.99,1.17,0.49,-0.17,0.73
CA_122403,47,0.62,0.93,0.78,0.58,0.75
CA_12291,176,0.5,0.61,0.19,-0.28,-0.08
CA_123169,241,1.33,1.58,-0.05,1.03,-3.48
CA_125759,69,0.38,0.55,0.24,0.15,-0.19
CA_126031,69,0.4,0.5,0.22,0.11,-0.02
CA_12627,69,0.45,0.7,0.44,0.27,0.89
CA_126375,69,0.94,1.05,0.01,0.92,-1.56
CA_127382,69,1.04,1.16,0.2,0.93,0.05
CA_128033,211,1.15,1.29,0.24,1.14,-0.17
CA_128901,61,1.64,1.78,0.4,1.64,0.25
CA_129661,76,1.1,1.34,-0.16,0.93,-0.22
CA_129664,75,1.9,2.04,0.02,1.9,-0.78
CA_130000,75,0.77,0.97,0.15,0.66,0.91
CA_130291,61,1.3,1.55,0.28,1.27,0.43
CA_130897,47,0.8,0.97,0.21,0.54,0.94
CA_131232,69,0.44,0.57,-0.36,-0.19,0.84
CA_132535,176,1.27,1.45,0.21,1.26,0.7
