field_id,crop,mae,rmse,corr,bias,skill_score
CA_100310,72,7.67,8.8,0.96,1.17,0.88
CA_100588,47,6.5,9.66,0.93,3.5,0.83
CA_100873,215,6.5,8.44,0.97,1.17,0.93
CA_101679,215,7.08,10.01,0.95,1.25,0.86
CA_101797,215,7.75,12.41,0.91,0.08,0.78
CA_102128,215,5.17,6.19,0.94,1.33,0.86
CA_102689,215,8.0,11.76,0.92,0.67,0.78
CA_103875,61,15.83,22.68,0.61,14.17,-0.05
CA_104862,215,9.25,13.48,0.96,8.75,0.87
CA_105521,47,8.92,12.02,0.92,8.92,0.67
CA_105749,61,9.58,18.53,0.79,8.08,0.4
CA_105986,61,15.42,21.5,0.58,14.08,0.19
CA_106984,122,10.83,13.64,0.87,-3.67,0.58
CA_107192,47,6.0,7.7,0.94,3.0,0.84
CA_107269,47,7.5,9.9,0.94,-1.33,0.83
CA_107963,47,8.5,12.2,0.87,5.5,0.71
CA_108094,47,14.33,18.86,0.85,7.83,0.68
CA_109738,61,5.75,7.08,0.99,2.25,0.97
CA_110176,69,6.0,8.26,0.96,5.67,0.86
CA_110718,36,6.42,10.7,0.96,4.58,0.88
CA_110883,47,10.42,20.93,0.92,3.25,0.84
CA_110959,61,6.42,10.61,0.96,2.42,0.9
CA_11216,47,5.58,10.63,0.94,-0.75,0.89
CA_112646,176,5.92,8.19,0.94,3.08,0.86
CA_113117,47,7.0,10.59,0.96,5.5,0.89
CA_113720,66,6.25,8.59,0.99,1.08,0.98
CA_115464,69,6.92,9.66,0.84,3.42,0.48
CA_115801,61,10.67,15.16,0.97,-7.67,0.92
CA_116294,61,6.17,8.44,0.96,-2.33,0.87
CA_116825,47,13.92,26.26,0.94,-10.25,0.76
CA_11733,61,3.75,4.86,0.99,3.25,0.97
CA_117389,241,26.08,49.68,0.85,-23.75,0.46
CA_117618,176,8.08,11.5,0.98,-0.42,0.96
CA_117699,47,22.42,34.58,0.9,15.42,0.73
CA_118357,241,13.25,23.3,0.94,4.58,0.86
CA_118917,47,12.08,18.47,0.96,-5.42,0.92
CA_11941,176,8.83,11.82,0.88,-8.0,0.64
CA_119568,36,17.75,40.99,0.75,-17.75,0.29
CA_119712,176,14.5,20.13,0.97,10.83,0.91
CA_119945,75,6.5,8.36,0.99,0.17,0.98
CA_120258,47,15.5,30.98,0.87,9.0,0.71
CA_120425,47,27.17,52.97,0.75,-24.0,-1.33
CA_12062,47,6.33,11.6,0.96,5.5,0.9
CA_121410,47,3.25,5.24,0.93,0.58,0.86
CA_121623,241,10.25,14.24,0.97,3.58,0.93
CA_122175,47,8.92,17.24,0.97,-6.42,0.89
CA_122403,47,4.08,4.5,0.99,-0.08,0.98
CA_12291,176,8.92,11.54,0.92,0.58,0.85
CA_123169,241,8.25,15.56,0.94,-6.08,0.84
CA_125759,69,6.17,8.36,0.97,-1.83,0.92
CA_126031,69,7.0,9.08,0.98,-6.5,0.93
CA_12627,69,2.25,2.87,0.99,1.58,0.97
CA_126375,69,10.75,23.15,0.81,10.25,0.6
CA_127382,69,22.0,37.13,0.31,-21.33,-1.04
CA_128033,211,6.83,8.37,0.99,-5.67,0.95
CA_128901,61,6.58,9.77,0.98,4.08,0.94
CA_129661,76,39.33,63.04,0.52,-33.33,-1.65
CA_129664,75,9.83,15.89,0.9,6.83,0.76
CA_130000,75,8.58,11.25,0.99,0.42,0.97
CA_130291,61,6.25,7.3,0.99,0.42,0.98
CA_130897,47,13.33,16.41,0.98,8.5,0.95
CA_131232,69,5.08,8.34,0.94,2.58,0.86
CA_132535,176,8.92,12.46,0.98,-1.58,0.95
CA_132720,61,9.67,14.63,0.92,4.17,0.84
CA_133674,69,11.83,13.7,0.92,-7.67,0.78
CA_133883,69,9.0,13.11,0.88,0.83,0.77
CA_134009,69,9.08,11.91,0.93,1.08,0.87
CA_134482,69,8.17,12.18,0.84,-1.83,0.65
CA_134803,69,6.83,8.79,0.93,2.5,0.86
CA_135342,69,5.75,7.31,0.95,-0.92,0.89
CA_136233,141,21.58,24.64,0.85,-20.42,0.28
CA_136312,69,7.33,10.43,0.91,-2.0,0.8
CA_137260,176,6.5,8.7,0.99,-4.67,0.95
CA_137908,241,10.0,12.95,0.98,-7.0,0.93
CA_138089,176,14.0,22.68,0.86,-11.17,0.57
CA_139701,47,20.5,43.33,0.63,19.17,0.33
CA_140561,66,9.33,13.32,0.98,2.33,0.96
CA_140665,241,10.33,16.82,0.96,-1.5,0.92
CA_141887,61,3.58,4.72,0.98,-2.08,0.96
CA_142793,3,7.75,11.35,0.99,-4.42,0.98
